verb	v2rel_2009	best_model	r2	slope	range	tau
anse	0.9280205656	lin	0.9198106093	-0.0009897884	0.0177199137	-0.8105263158
avse	0.3166666667	log	0.8164133285	0.0713676106	0.2199006025	0.6526315789
behaga	0.8064097012	log	0.020874975	-0.0031650298	0.0721410788	-0.0631578947
behöva	0.9987727381	log	0.6526109113	0.0002544237	0.001015305	0.5473684211
besluta	0.0421245421	lin	0.0318647807	-0.0003817809	0.0479059711	-0.1473684211
bruka	0.9996244348	log	0.6659435005	0.0002044513	0.0007003254	0.3052631579
börja	0.9896794828	log	0.9051629973	0.0050506281	0.0124761476	0.8
fortsätta	0.6109474428	sqrt	0.9741132222	0.0437635255	0.1342157658	0.9052631579
förefalla	0.9583333333	lin			0.1074404436	
förmå	0.7486187845	lin	0.8391712497	-0.0101207825	0.2453186127	-0.8421052632
försöka	0.9511181613	log	0.979641185	0.0164742419	0.0433043598	1
glömma	0.8533181239	lin	0.3153382387	-0.0011416556	0.0417485649	-0.3684210526
hinna	0.9910366209	log	0.9420471084	0.0046681084	0.0129399245	0.8631578947
hota	0.1172022684	log	0.5873955072	0.0208199645	0.0814735479	0.5368421053
idas	0.9748322148	log	0.1584875768	-0.0020874091	0.0156389291	-0.1157894737
komma	0.6050568684	log	0.9386311826	0.1038822353	0.2671501377	0.7684210526
lova	0.1332991541	lin	0.3847975207	0.0006186142	0.0200639876	0.4210526316
lyckas	0.9879840392	log	0.8386160978	0.0040533772	0.011874071	0.5894736842
låtsas	0.9822616408	lin	0.0328401117	8.80E-005	0.0093398816	0.0315789474
orka	0.9903214869	log	0.4366936613	0.0019901092	0.0091326186	0.0842105263
planera	0.0752875566	lin	0.6104489011	0.0010080727	0.0288239132	0.6315789474
riskera	0.0981404959	lin	0.8602710309	0.0026841017	0.0635846474	0.7578947368
råka	0.9992008852	log	0.0284086117	-5.62E-005	0.0009957884	-0.0421052632
slippa	0.9786260014	log	0.2506891207	0.001395946	0.0085393945	0.1368421053
sluta	0.9348181242	log	0.8941093223	0.0127985342	0.0341486782	0.6210526316
tendera	0.0602115541	lin	0.0889667183	0.0006190742	0.0458868371	0.4526315789
våga	0.9955034681	log	0.0368216241	9.11E-005	0.0013145981	0
vägra	0.8511276099	log	0.9189207326	0.024001709	0.0628038819	0.8210526316
ämna	0.8212290503	lin			0.1605432664	
önska	0.8294629898	log	0.5378499468	0.0122298479	0.0480937309	0.3684210526
