period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	7	6	1	0.8571428571	0.1428571429	1.8883126038571931	0.3147187673095322
2001	6	6	0	1.0000000000	0.0000000000	1.8232836974734759	0.0
2002	9	9	0	1.0000000000	0.0000000000	1.4928178047384357	0.0
2003	14	12	2	0.8571428571	0.1428571429	1.6888829840535668	0.28148049734226116
2004	62	49	13	0.7903225806	0.2096774194	2.103426240954945	0.5580518598451896
2005	72	55	17	0.7638888889	0.2361111111	1.308041487080498	0.40430373237033573
2006	142	103	39	0.7253521127	0.2746478873	1.7993498512252122	0.6813072252211968
2007	201	147	54	0.7313432836	0.2686567164	1.6657803657482557	0.6119193180299716
2008	248	188	60	0.7580645161	0.2419354839	1.5112091324940147	0.4823007869661749
2009	353	252	101	0.7138810198	0.2861189802	1.6466883186577137	0.6599822229540837
2010	373	276	97	0.7399463807	0.2600536193	1.59714732821296	0.5613162711473084
2011	475	354	121	0.7452631579	0.2547368421	1.8801026363962283	0.6426339519885412
2012	509	328	181	0.6444007859	0.3555992141	1.8007607061057234	0.9937124628205365
2013	568	427	141	0.7517605634	0.2482394366	2.625105310833341	0.8668380534601897
2014	546	383	163	0.7014652015	0.2985347985	2.906462964338762	1.236954211977071
2015	482	334	148	0.6929460581	0.3070539419	2.9168376488077343	1.2924909342022295
2016	457	335	122	0.7330415755	0.2669584245	2.8991914440654494	1.05582494380891
2017	520	360	160	0.6923076923	0.3076923077	3.649205707296906	1.6218692032430693
2018	490	344	146	0.7020408163	0.2979591837	3.6991237679068236	1.5699769480069659
2019	462	320	142	0.6926406926	0.3073593074	3.3253588457080885	1.4756279877829641
2020	527	362	165	0.6869070209	0.3130929791	3.4022638569719104	1.5507556254153734
2021	521	338	183	0.6487523992	0.3512476008	3.095351534769617	1.675885594268757
2022	427	277	150	0.6487119438	0.3512880562	2.8694093081649052	1.553831755323956
2023	525	344	181	0.6552380952	0.3447619048	3.4007434835897468	1.7893446817725123
2024	448	302	146	0.6741071429	0.3258928571	3.333520245947565	1.611569390424982
