period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	16	13	3	0.8125000000	0.1875000000	2.128384130767921	0.49116556863875105
2001	13	13	0	1.0000000000	0.0000000000	2.2371872842404956	0.0
2002	27	22	5	0.8148148148	0.1851851852	1.9200012288007862	0.43636391563654237
2003	25	20	5	0.8000000000	0.2000000000	1.5939535603224155	0.3984883900806039
2004	143	112	31	0.7832167832	0.2167832168	2.364403516619572	0.6544331162072029
2005	193	147	46	0.7616580311	0.2383419689	1.8288657646991011	0.5722981304500588
2006	331	249	82	0.7522658610	0.2477341390	2.074808892810898	0.6832703984357175
2007	417	297	120	0.7122302158	0.2877697842	1.7459440587883936	0.7054319429448055
2008	464	349	115	0.7521551724	0.2478448276	1.4596068464059437	0.4809592760363425
2009	646	461	185	0.7136222910	0.2863777090	1.5558093973519989	0.6243486735577436
2010	731	524	207	0.7168262654	0.2831737346	1.4684193454687227	0.5800816880000489
2011	822	611	211	0.7433090024	0.2566909976	1.6506068027725158	0.5700131512029474
2012	879	568	311	0.6461888510	0.3538111490	1.5898736557915643	0.8705118080126346
2013	1018	703	315	0.6905697446	0.3094302554	2.179723241439209	0.9766896458795888
2014	1027	710	317	0.6913339825	0.3086660175	2.5581507386287345	1.1421602593595899
2015	993	653	340	0.6576032226	0.3423967774	2.714769443320104	1.413509357930835
2016	799	548	251	0.6858573217	0.3141426783	2.4633866682169816	1.1283030177417197
2017	892	571	321	0.6401345291	0.3598654709	3.0455370838249576	1.712114542745729
2018	991	603	388	0.6084762866	0.3915237134	3.171171791258369	2.0404886484382208
2019	765	481	284	0.6287581699	0.3712418301	2.5673191375707836	1.5158391581499013
2020	912	606	306	0.6644736842	0.3355263158	2.7341591661070814	1.3806150244699122
2021	1059	668	391	0.6307837583	0.3692162417	3.1056379397822758	1.8178210096629788
2022	1044	644	400	0.6168582375	0.3831417625	3.051348143414803	1.8952472940464615
2023	946	609	337	0.6437632135	0.3562367865	3.1878556206056077	1.7640514682168962
2024	846	550	296	0.6501182033	0.3498817967	3.1588597095381403	1.7000408618605263
