period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	14	14	0	1.0000000000	0.0000000000	2.045449000162613	0.0
2004	74	69	5	0.9324324324	0.0675675676	0.715329584529424	0.05183547713981333
2005	168	154	14	0.9166666667	0.0833333333	0.6627014741579129	0.06024558855981026
2006	347	336	11	0.9682997118	0.0317002882	0.71619901162618	0.023446991452047563
2007	485	466	19	0.9608247423	0.0391752577	0.7339085190685048	0.02992330871738539
2008	545	529	16	0.9706422018	0.0293577982	0.8494522081824882	0.025692316315538397
2009	546	523	23	0.9578754579	0.0421245421	0.8814969249755085	0.03876563914806252
2010	350	336	14	0.9600000000	0.0400000000	0.8153468189076424	0.03397278412115176
2011	327	315	12	0.9633027523	0.0366972477	0.8732915772615932	0.03326825056234641
2012	281	265	16	0.9430604982	0.0569395018	0.9124061328621158	0.055088672172806996
2013	198	192	6	0.9696969697	0.0303030303	0.9241255345410425	0.02887892295440758
2014	131	122	9	0.9312977099	0.0687022901	0.8805923996257655	0.06496173439862206
2015	99	87	12	0.8787878788	0.1212121212	0.9796146581024924	0.13511926318655068
2016	68	64	4	0.9411764706	0.0588235294	1.0006347933319386	0.06253967458324616
2017	61	59	2	0.9672131148	0.0327868852	0.958531537482799	0.03249259449094234
2018	52	50	2	0.9615384615	0.0384615385	0.88429017125977	0.0353716068503908
2019	30	28	2	0.9333333333	0.0666666667	0.6117008987961617	0.04369292134258298
2020	27	26	1	0.9629629630	0.0370370370	0.6234237121079171	0.023977835081073737
2021	48	47	1	0.9791666667	0.0208333333	1.1544536969132142	0.024562844615174773
2022	32	32	0	1.0000000000	0.0000000000	0.9695828233554928	0.0
