period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	5	5	0	1.0000000000	0.0000000000	1.573593836547661	0.0
2001	7	5	2	0.7142857143	0.2857142857	1.5194030812278965	0.6077612324911587
2002	5	4	1	0.8000000000	0.2000000000	0.6634745798837492	0.1658686449709373
2003	5	5	0	1.0000000000	0.0000000000	0.7037012433556529	0.0
2004	17	15	2	0.8823529412	0.1176470588	0.6439059921290649	0.08585413228387531
2005	36	32	4	0.8888888889	0.1111111111	0.7610423197559261	0.09513028996949076
2006	54	50	4	0.9259259259	0.0740740741	0.8734708015656371	0.06987766412525095
2007	103	91	12	0.8834951456	0.1165048544	1.0311973692727299	0.135982070673327
2008	113	109	4	0.9646017699	0.0353982301	0.8761797629885512	0.032153385797744995
2009	169	151	18	0.8934911243	0.1065088757	0.9867060957036301	0.1176205941898367
2010	199	183	16	0.9195979899	0.0804020101	1.0589781197933756	0.09258825091089623
2011	239	215	24	0.8995815900	0.1004184100	1.1418702452688956	0.12746458551838835
2012	224	192	32	0.8571428571	0.1428571429	1.0541038279643258	0.17568397132738767
2013	245	225	20	0.9183673469	0.0816326531	1.3832522129683877	0.1229557522638567
2014	207	177	30	0.8550724638	0.1449275362	1.3431956780364513	0.22766028441295785
2015	197	174	23	0.8832487310	0.1167512690	1.5195501523728914	0.20086007761250865
2016	173	156	17	0.9017341040	0.0982658960	1.3500712396245078	0.14712314790779893
2017	163	145	18	0.8895705521	0.1104294479	1.4698189654390315	0.18246028536484532
2018	162	146	16	0.9012345679	0.0987654321	1.5699769480069659	0.172052268274736
2019	184	164	20	0.8913043478	0.1086956522	1.7042464084253952	0.20783492785675553
2020	197	180	17	0.9137055838	0.0862944162	1.6917334095440437	0.15977482201249302
2021	168	155	13	0.9226190476	0.0773809524	1.4194659405008596	0.11905198210652372
2022	166	147	19	0.8855421687	0.1144578313	1.522755120217477	0.19681868900770108
2023	166	155	11	0.9337349398	0.0662650602	1.5323117440593335	0.108744704417114
2024	145	140	5	0.9655172414	0.0344827586	1.545340511366421	0.05519073254880075
