period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	883	3	880	0.0033975085	0.9966024915	0.9653733452696384	283.17618127909395
2004	7578	5	7573	0.0006598047	0.9993401953	0.1517150521873988	229.78761804303423
2005	17623	8	17615	0.0004539522	0.9995460478	0.09904461563756009	218.08386305695265
2006	40697	28	40669	0.0006880114	0.9993119886	0.15033836091121433	218.36109999636344
2007	58219	28	58190	0.0004809426	0.9995018808	0.10541670406135999	219.0785003332335
2008	56464	20	56444	0.0003542080	0.9996457920	0.07780918013637918	219.59306818088933
2009	58742	27	58715	0.0004596371	0.9995403629	0.09847494048010473	214.14652334404994
2010	41411	11	41400	0.0002656299	0.9997343701	0.05821883281116245	219.11451621655684
2011	43190	24	43164	0.0005556842	0.9993980088	0.12295732973362088	221.13875752591716
2012	40050	15	40035	0.0003745318	0.9996254682	0.0822461407890096	219.51494976586662
2013	30326	12	30314	0.0003957001	0.9996042999	0.08426626386643506	212.870626903926
2014	20714	1	20713	0.0000482765	0.9999517235	0.010154202325771303	210.323992773701
2015	13803	6	13797	0.0004346881	0.9995653119	0.0936856277268861	215.4301009579746
2016	11151	7	11144	0.0006277464	0.9993722536	0.1477254158475732	235.17886202933653
2017	11171	5	11165	0.0004475875	0.9994628950	0.10314795596440471	230.32938566851573
2018	10624	8	10616	0.0007530120	0.9992469880	0.1735906366078567	230.35477477862582
2019	8282	3	8279	0.0003622313	0.9996377687	0.07849980180108375	216.63328637039078
2020	7892	0	7892	0.0000000000	1.0000000000	0.0	219.00854288721195
2021	7365	4	7361	0.0005431093	0.9994568907	0.112526133491215	207.07621715720842
2022	6521	1	6519	0.0001533507	0.9996932986	0.03384200689869311	220.61604297258035
2023	4356	0	4356	0.0000000000	1.0000000000	0.0	207.5630821897867
