period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	630	36	594	0.0571428571	0.9428571429	12.284676912997188	202.6971690644536
2001	574	21	553	0.0365853659	0.9634146341	8.332996045398163	219.43556252881828
2002	1162	36	1126	0.0309810671	0.9690189329	6.630494861458573	207.38714483339868
2003	1330	34	1296	0.0255639098	0.9744360902	6.247554955055273	238.142094757401
2004	5781	114	5667	0.0197197717	0.9802802283	4.735415905555868	235.40001698934304
2005	9862	210	9652	0.0212938552	0.9787061448	5.478724274356667	251.81260331471688
2006	15825	207	15618	0.0130805687	0.9869194313	3.297850637795551	248.82044087483536
2007	21927	251	21676	0.0114470744	0.9885529256	3.066150111990827	264.7883260060286
2008	31848	364	31484	0.0114292891	0.9885707109	3.1734466074757264	274.48569502682903
2009	41152	450	40702	0.0109350700	0.9890649300	3.1408270418787056	284.08431613010464
2010	54954	633	54321	0.0115187248	0.9884812752	3.4395035073970246	295.1615640210328
2011	53903	652	53250	0.0120958017	0.9878856464	3.584794872621709	292.77657510292335
2012	51131	673	50458	0.0131622695	0.9868377305	3.8431701509962712	288.14068273249603
2013	46623	618	46005	0.0132552603	0.9867447397	3.8659342060035478	287.7868982964292
2014	41047	514	40533	0.0125222306	0.9874777694	3.5261281879723234	278.0633343250626
2015	36261	523	35738	0.0144232095	0.9855767905	4.149854762621285	283.57076387487473
2016	29960	478	29482	0.0159546061	0.9840453939	4.471112604475193	275.76849750028794
2017	24207	369	23838	0.0152435246	0.9847564754	4.153728431103789	268.33761067927406
2018	25206	372	24834	0.0147583909	0.9852416091	3.828912063527827	255.61075856357542
2019	23752	326	23426	0.0137251600	0.9862748400	3.577513087168389	257.07613981597143
2020	31671	411	31260	0.0129771715	0.9870228285	3.566451128351812	271.2585456746415
2021	26303	368	25935	0.0139907995	0.9860092005	3.4750851410024293	244.90851394537503
2022	29796	401	29395	0.0134581823	0.9865418177	3.5016114048933003	256.6829607153081
2023	22932	310	22622	0.0135182278	0.9864817722	3.448921949883849	251.6822979041046
2024	20930	335	20594	0.0160057334	0.9839464883	4.011085346772457	246.57997501919996
