period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	13	2	11	0.1538461538	0.8461538462	0.682482050722066	3.7536512789713634
2001	25	5	20	0.2000000000	0.8000000000	1.9840466774757528	7.936186709903011
2002	24	7	17	0.2916666667	0.7083333333	1.2892628897280558	3.1310670179109925
2003	14	4	10	0.2857142857	0.7142857143	0.7350064653006204	1.837516163251551
2004	139	22	117	0.1582733813	0.8417266187	0.9138521923002553	4.860032113596811
2005	218	42	176	0.1926605505	0.8073394495	1.0957448548713333	4.59169272517511
2006	255	55	200	0.2156862745	0.7843137255	0.8762405076268373	3.1863291186430445
2007	295	60	235	0.2033898305	0.7966101695	0.7329442498782854	2.8706983120232845
2008	310	75	235	0.2419354839	0.7580645161	0.65386949329857	2.0487910790021857
2009	419	113	306	0.2696897375	0.7303102625	0.7886965682939862	2.13576238847752
2010	473	141	332	0.2980972516	0.7019027484	0.7661453310315647	1.8039734035636843
2011	475	115	360	0.2421052632	0.7578947368	0.632287439189412	1.9793345922451155
2012	500	150	350	0.3000000000	0.7000000000	0.8565758137435968	1.9986768987350594
2013	641	165	476	0.2574102964	0.7425897036	1.0321668996611415	2.977645116598202
2014	564	152	412	0.2695035461	0.7304964539	1.0427460789334497	2.826390687635403
2015	515	134	381	0.2601941748	0.7398058252	1.0632515070578437	3.0231255536495407
2016	422	122	300	0.2890995261	0.7109004739	1.141162631267727	2.80613761787146
2017	376	108	268	0.2872340426	0.7127659574	1.2157253944694018	3.0168000529425893
2018	398	115	283	0.2889447236	0.7110552764	1.1836690518970434	2.9128551451031583
2019	498	123	375	0.2469879518	0.7530120482	1.3497978825819383	4.115237446896153
2020	472	144	328	0.3050847458	0.6949152542	1.2495595194225326	2.8462189053513245
2021	498	168	330	0.3373493976	0.6626506024	1.5864519121967613	3.1162448275293526
2022	396	119	277	0.3005050505	0.6994949495	1.0391315640456427	2.4188188507617063
2023	332	108	224	0.3253012048	0.6746987952	1.2015599051208248	2.4921242476580066
2024	326	125	201	0.3834355828	0.6165644172	1.4966736368553943	2.406651208063474
