period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	61	13	48	0.2131147541	0.7868852459	4.091343975023919	15.106500830857545
2001	70	16	54	0.2285714286	0.7714285714	4.862089859929269	16.40955327726128
2002	126	28	98	0.2222222222	0.7777777778	4.644322059186245	16.255127207151858
2003	134	42	92	0.3134328358	0.6865671642	5.911090444187484	12.948102877744013
2004	370	95	275	0.2567567568	0.7432432432	4.0780712834840775	11.804943189032857
2005	618	151	467	0.2443365696	0.7556634304	3.5911684463482763	11.106461353938046
2006	815	202	613	0.2478527607	0.7521472393	3.5288220383251736	10.70875202719471
2007	1375	320	1055	0.2327272727	0.7672727273	3.6261885512887204	11.95509038003
2008	2056	440	1616	0.2140077821	0.7859922179	3.5368724377519496	12.989967862288978
2009	2568	551	2017	0.2145638629	0.7854361371	3.600497077700001	13.180041026716701
2010	2973	621	2352	0.2088799193	0.7911200807	3.59358148847916	13.610472883901746
2011	3128	622	2506	0.1988491049	0.8011508951	3.3034571746848984	13.309427137878384
2012	3028	661	2367	0.2182959049	0.7817040951	3.628972032731351	12.995123754122707
2013	2537	579	1958	0.2282223098	0.7717776902	3.5595690280386516	12.037368146631572
2014	1971	432	1539	0.2191780822	0.7808219178	3.2783080955465933	11.678972590384737
2015	1458	341	1117	0.2338820302	0.7661179698	2.9779689767767588	9.754813334485746
2016	1222	295	927	0.2414075286	0.7585924714	2.5530193313412166	8.022538712384094
2017	1112	290	822	0.2607913669	0.7392086331	2.939637930878063	8.33235303166127
2018	976	244	732	0.2500000000	0.7500000000	2.623797091189724	7.871391273569171
2019	971	232	739	0.2389289392	0.7610710608	2.4108851631383637	7.6795005843071165
2020	1095	290	805	0.2648401826	0.7351598174	2.725570493154293	7.565807748238639
2021	1164	301	863	0.2585910653	0.7414089347	2.7565112780048953	7.903220042917689
2022	952	245	707	0.2573529412	0.7426470588	2.5379252003624613	7.323727006760246
2023	1019	267	752	0.2620215898	0.7379784102	2.639530552669949	7.434183429242703
2024	914	268	646	0.2932166302	0.7067833698	2.9582232646157203	7.130642645305056
