period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	96	21	75	0.2187500000	0.7812500000	3.438158980471257	12.279139215968776
2001	108	26	82	0.2407407407	0.7592592593	4.474374568480991	14.111489023670819
2002	186	44	142	0.2365591398	0.7634408602	3.8400024576015723	12.392735204077802
2003	205	68	137	0.3317073171	0.6682926829	5.419442105096212	10.918581888208546
2004	649	172	477	0.2650231125	0.7349768875	3.6310482576657708	10.069825691317282
2005	1046	288	758	0.2753346080	0.7246653920	3.583083947165586	9.430477888720535
2006	1534	413	1121	0.2692307692	0.7307692308	3.4413496896823332	9.340806300566332
2007	2344	556	1788	0.2372013652	0.7627986348	3.2685013356442654	10.510935949877602
2008	3402	770	2632	0.2263374486	0.7736625514	3.2203360221563804	11.0076940393709
2009	4343	1006	3337	0.2316371172	0.7683628828	3.3951068410761622	11.261900127903731
2010	5217	1177	4040	0.2256085873	0.7743914127	3.298338873314287	11.321401060484044
2011	5381	1156	4225	0.2148299573	0.7851700427	3.1229156530360527	11.413770444703566
2012	5028	1171	3857	0.2328957836	0.7671042164	3.2777148784012704	10.796025863359267
2013	4420	1042	3378	0.2357466063	0.7642533937	3.2308273365286713	10.473833726289685
2014	3550	834	2716	0.2349295775	0.7650704225	3.004926360586429	9.785827332557243
2015	2679	677	2002	0.2527062337	0.7472937663	2.814546574468163	8.323075689933917
2016	2203	598	1605	0.2714480254	0.7285519746	2.6881482255360494	7.214845989942074
2017	1901	494	1407	0.2598632299	0.7401367701	2.634842941172555	7.504502061193897
2018	1783	472	1311	0.2647223780	0.7352776220	2.482243922842372	6.894537675521927
2019	1716	444	1272	0.2587412587	0.7412587413	2.3698330500653384	6.7892514407277265
2020	2052	552	1500	0.2690058480	0.7309941520	2.490521220612391	6.767720708185846
2021	2042	562	1480	0.2752203722	0.7247796278	2.6128271289785014	6.880754716882886
2022	1913	487	1426	0.2545739676	0.7454260324	2.307463580501567	6.7565566032756355
2023	1721	461	1260	0.2678675189	0.7321324811	2.4131386553352794	6.59556335297712
2024	1560	443	1117	0.2839743590	0.7160256410	2.54431791150072	6.415356901007459
