period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	66	0	66	0.0000000000	1.0000000000	0.0	10.805642510052522
2001	80	2	78	0.0250000000	0.9750000000	0.3441826591139224	13.423123705442974
2002	157	2	155	0.0127388535	0.9872611465	0.17454556625461695	13.527281384732813
2003	616	10	606	0.0162337662	0.9837662338	0.5156797587443817	31.250193379909533
2004	4954	78	4876	0.0157448526	0.9842551474	0.5423133979901614	33.90154011025676
2005	14260	240	14020	0.0168302945	0.9831697055	0.7673619305741636	44.82672611104072
2006	28098	402	27696	0.0143070681	0.9856929319	0.6823338692958377	47.00974836820279
2007	39464	425	39038	0.0107693087	0.9892053517	0.5279076425057739	48.49049070150683
2008	40893	435	40458	0.0106375174	0.9893624826	0.5047224823170624	46.942671700192435
2009	39339	369	38970	0.0093800046	0.9906199954	0.4147849019415275	43.80533232699547
2010	31125	311	30814	0.0099919679	0.9900080321	0.4044524271591355	40.073302541741484
2011	26126	278	25848	0.0106407410	0.9893592590	0.380367994459412	35.36601410354994
2012	21930	196	21734	0.0089375285	0.9910624715	0.30260833143203436	33.55555854767263
2013	16104	181	15923	0.0112394436	0.9887605564	0.3413278282371988	30.027419939342085
2014	12236	181	12055	0.0147924158	0.9852075842	0.4350048258377908	28.972282737428554
2015	9157	120	9037	0.0131047286	0.9868952714	0.36435789052582374	27.439185472348907
2016	7452	103	7349	0.0138217928	0.9861782072	0.35961506105582913	25.65836003591542
2017	6652	64	6588	0.0096211666	0.9903788334	0.256986888243867	26.453587808603057
2018	6161	69	6092	0.0111994806	0.9888005194	0.27969980525232213	24.69465526952386
2019	5583	75	5508	0.0134336378	0.9865663622	0.32171033223133244	23.626406799069056
2020	6921	74	6846	0.0106920965	0.9891634157	0.28099963798512856	25.996263806029596
2021	6433	74	6359	0.0115031867	0.9884968133	0.2892833260089271	24.85881986609145
2022	5934	71	5863	0.0119649478	0.9880350522	0.29091429145835035	24.02296465944096
2023	5042	75	4967	0.0148750496	0.9851249504	0.34790857981198864	23.040825545681965
2024	3834	69	3765	0.0179968701	0.9820031299	0.3962933090147849	21.623830557111084
