period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	4	4	0	1.0000000000	0.0000000000	1.2871644603595178	0.0
2004	44	39	5	0.8863636364	0.1136363636	1.1833774070617107	0.1517150521873988
2005	98	85	13	0.8673469388	0.1326530612	1.0523490411490761	0.16094750041103517
2006	250	220	30	0.8800000000	0.1200000000	1.1812299785881126	0.16107681526201537
2007	413	358	55	0.8668280872	0.1331719128	1.3478278590702457	0.20706852583481428
2008	361	308	53	0.8531855956	0.1468144044	1.1982613741002395	0.20619432736140483
2009	402	356	46	0.8855721393	0.1144278607	1.2984103263302698	0.1677721208179562
2010	288	249	39	0.8645833333	0.1354166667	1.3178626699981317	0.20641222542139412
2011	323	272	51	0.8421052632	0.1578947368	1.3935164036477035	0.2612843256839444
2012	345	300	45	0.8695652174	0.1304347826	1.644922815780192	0.24673842236702878
2013	264	237	27	0.8977272727	0.1022727273	1.6642587113620924	0.18959909369947886
2014	212	168	44	0.7924528302	0.2075471698	1.7059059907295788	0.4467849023339373
2015	148	131	17	0.8851351351	0.1148648649	2.0454695387036796	0.26544261189284396
2016	113	98	15	0.8672566372	0.1327433628	2.068155821866025	0.316554462530514
2017	130	106	24	0.8153846154	0.1846153846	2.18673666644538	0.49511018862914263
2018	86	74	12	0.8604651163	0.1395348837	1.6057133886226744	0.260385954911785
2019	69	50	19	0.7246376812	0.2753623188	1.3083300300180625	0.49716541140686377
2020	74	64	10	0.8648648649	0.1351351351	1.7760449499216375	0.27750702342525585
2021	70	61	9	0.8714285714	0.1285714286	1.7160235357410287	0.2531838003552338
2022	45	41	4	0.9111111111	0.0888888889	1.3875222828464173	0.13536802759477243
2023	48	37	11	0.7708333333	0.2291666667	1.7630473005101257	0.5241491974489563
