period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	17	10	7	0.5882352941	0.4117647059	1.63721856212917	1.146052993490419
2001	19	12	7	0.6315789474	0.3684210526	2.0650959546835344	1.2046393068987284
2002	54	48	6	0.8888888889	0.1111111111	4.189093590110806	0.5236366987638508
2003	33	30	3	0.9090909091	0.0909090909	2.390930340483623	0.2390930340483623
2004	123	102	21	0.8292682927	0.1707317073	2.1532960597785387	0.4433256593661697
2005	159	130	29	0.8176100629	0.1823899371	1.6173642817066882	0.36079664745764584
2006	253	200	53	0.7905138340	0.2094861660	1.666513166916384	0.44162598923284174
2007	338	272	66	0.8047337278	0.1952662722	1.5989790706748925	0.387987568619643
2008	445	365	80	0.8202247191	0.1797752809	1.526522919593609	0.33458036593832524
2009	479	405	74	0.8455114823	0.1544885177	1.3668173664372223	0.24973946942309744
2010	659	552	107	0.8376327769	0.1623672231	1.5468845013334636	0.29984898848311703
2011	819	681	138	0.8315018315	0.1684981685	1.8397106917971904	0.3728048097915011
2012	741	576	165	0.7773279352	0.2226720648	1.612266242492854	0.46184710071409873
2013	663	530	133	0.7993966817	0.2006033183	1.643319086718038	0.4123800727047153
2014	622	475	147	0.7636655949	0.2363344051	1.7114388744347167	0.5296452937724282
2015	569	428	141	0.7521968366	0.2478031634	1.7793588388070514	0.5861906454948463
2016	517	401	116	0.7756286267	0.2243713733	1.802587689698923	0.5214468129802371
2017	514	391	123	0.7607003891	0.2392996109	2.085472854247913	0.6560438902109803
2018	527	406	121	0.7703984820	0.2296015180	2.135150492953396	0.6363379547964554
2019	623	447	176	0.7174959872	0.2825040128	2.385845435538753	0.9393932811069811
2020	635	489	146	0.7700787402	0.2299212598	2.2062769508685856	0.6587248155967557
2021	628	489	139	0.7786624204	0.2213375796	2.273438551726845	0.6462330443558926
2022	713	552	161	0.7741935484	0.2258064516	2.615441265784117	0.7628370358537008
2023	626	478	148	0.7635782748	0.2364217252	2.502126414859574	0.7747169652703283
2024	526	429	97	0.8155893536	0.1844106464	2.4639105734397493	0.5571079851367265
