period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	61	52	9	0.8524590164	0.1475409836	7.597382000603991	1.314931500104537
2004	685	605	80	0.8832116788	0.1167883212	6.272092733917413	0.8293676342370133
2005	2044	1832	212	0.8962818004	0.1037181996	7.883565588683744	0.9122903410485556
2006	4089	3653	436	0.8933724627	0.1066275373	7.7865327067572485	0.929353479372067
2007	5399	4824	575	0.8934987961	0.1065012039	7.597370592245638	0.9055738164471895
2008	4472	3874	598	0.8662790698	0.1337209302	6.220752087899735	0.9602503222932476
2009	3899	3381	518	0.8671454219	0.1328545781	5.69854895476519	0.8730696121172341
2010	2559	2223	336	0.8686987104	0.1313012896	5.394392792951455	0.8153468189076424
2011	2136	1911	225	0.8946629213	0.1053370787	5.2979689020536656	0.6237796980439951
2012	1605	1390	215	0.8660436137	0.1339563863	4.785828395012608	0.740254032322094
2013	1089	951	138	0.8732782369	0.1267217631	4.577309288273601	0.6642152279513742
2014	693	630	63	0.9090909091	0.0909090909	4.547321407903543	0.45473214079035434
2015	421	369	52	0.8764845606	0.1235154394	4.154917342986433	0.5855168071417196
2016	329	293	36	0.8905775076	0.1094224924	4.581031163222781	0.5628570712492155
2017	277	238	39	0.8592057762	0.1407942238	3.866618744422138	0.6336055925733757
2018	246	215	31	0.8739837398	0.1260162602	3.802447736417011	0.5482599061810575
2019	187	163	24	0.8716577540	0.1283422460	3.560973089420513	0.5243150561109957
2020	140	120	20	0.8571428571	0.1428571429	2.8773402097288483	0.47955670162147473
2021	161	140	21	0.8695652174	0.1304347826	3.438798246124468	0.5158197369186702
2022	112	99	13	0.8839285714	0.1160714286	2.999646859756056	0.39389302198816895
2023	101	82	19	0.8118811881	0.1881188119	3.3419785972354585	0.7743608944813867
