period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	25	24	1	0.9600000000	0.0400000000	3.9293245491100084	0.163721856212917
2001	36	33	3	0.9166666667	0.0833333333	5.679013875379719	0.5162739886708836
2002	52	47	5	0.9038461538	0.0961538462	4.101820806983498	0.43636391563654237
2003	58	53	5	0.9137931034	0.0862068966	4.2239769348544005	0.3984883900806039
2004	258	239	19	0.9263565891	0.0736434109	5.045468218500693	0.4011041679979631
2005	415	386	29	0.9301204819	0.0698795181	4.80232779029832	0.36079664745764584
2006	658	587	71	0.8920972644	0.1079027356	4.8912161448995874	0.5916121742553162
2007	782	702	80	0.8976982097	0.1023017903	4.126776866227112	0.4702879619632037
2008	973	861	112	0.8848920863	0.1151079137	3.600921188411225	0.46841251231365527
2009	1111	1000	111	0.9000900090	0.0999099910	3.3748576949067224	0.37460920413464616
2010	1253	1099	154	0.8770949721	0.1229050279	3.0797573676910805	0.43155835725607494
2011	1199	1044	155	0.8707256047	0.1292743953	2.8203494305965737	0.4187300399832078
2012	1175	1048	127	0.8919148936	0.1080851064	2.9334288578689423	0.35548231388297297
2013	958	844	114	0.8810020877	0.1189979123	2.6169081305472153	0.35346863374689874
2014	942	796	146	0.8450106157	0.1549893843	2.8680112506316515	0.5260422645630919
2015	791	694	97	0.8773704172	0.1226295828	2.885222042364705	0.40326590505673826
2016	722	603	119	0.8351800554	0.1648199446	2.7106243812679565	0.5349325064193812
2017	656	536	120	0.8170731707	0.1829268293	2.8588579280738653	0.6400428197180296
2018	786	629	157	0.8002544529	0.1997455471	3.3079055666691772	0.8256616438268057
2019	723	578	145	0.7994467497	0.2005532503	3.0850529345445175	0.773931964548365
2020	787	674	113	0.8564167726	0.1435832274	3.040962504878173	0.5098349600166671
2021	785	626	159	0.7974522293	0.2025477707	2.910373278897761	0.7392162162056614
2022	905	745	160	0.8232044199	0.1767955801	3.529898085161535	0.7580989176185846
2023	657	535	122	0.8143074581	0.1856925419	2.8004971379704435	0.6386180389390544
2024	696	556	140	0.7988505747	0.2011494253	3.193319997278556	0.8040733806097083
