period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	133	5	128	0.0375939850	0.9624060150	1.3380228357681334	34.25338459566422
2004	1712	32	1680	0.0186915888	0.9813084112	0.503917057519959	26.455645519797844
2005	4728	76	4652	0.0160744501	0.9839255499	0.5012846077659011	30.683894675354896
2006	9810	149	9661	0.0151885831	0.9848114169	0.5266938295046545	34.15026232781521
2007	13578	180	13398	0.0132567388	0.9867432612	0.4873505893762169	36.27512886923641
2008	13436	146	13290	0.0108663293	0.9891336707	0.3992177486807952	36.339752602518956
2009	12118	131	11987	0.0108103647	0.9891896353	0.4104942343374272	37.56178921376137
2010	9151	96	9055	0.0104906568	0.9895093432	0.4301995090106116	40.577672438448836
2011	6897	54	6843	0.0078294911	0.9921705089	0.3262551986047104	41.34378377874136
2012	4607	42	4565	0.0091165618	0.9908834382	0.38866771536619465	42.24447906301616
2013	2780	35	2745	0.0125899281	0.9874100719	0.5355101607162384	41.99929689045927
2014	1797	25	1772	0.0139120757	0.9860879243	0.624037344391608	44.23176697047717
2015	1117	16	1101	0.0143240824	0.9856759176	0.6460351049015652	44.455290656038954
2016	814	7	807	0.0085995086	0.9914004914	0.42234346563463626	48.69016810959306
2017	610	7	603	0.0114754098	0.9885245902	0.5352324809042432	46.10645514075124
2018	483	4	479	0.0082815735	0.9917184265	0.38251555810310917	45.80623808284732
2019	320	2	318	0.0062500000	0.9937500000	0.2646430996693549	42.07825284742743
2020	298	4	294	0.0134228188	0.9865771812	0.7054600313682803	51.851312305568605
2021	225	1	224	0.0044444444	0.9955555556	0.19362587492271907	43.37219598268907
2022	176	1	175	0.0056818182	0.9943181818	0.2894515183179393	50.65401570563939
2023	180	0	180	0.0000000000	1.0000000000	0.0	50.704625275917664
