period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	308	9	299	0.0292207792	0.9707792208	1.314931500104537	43.68494650347295
2004	2793	60	2733	0.0214822771	0.9785177229	0.62202572567776	28.33327180462197
2005	7494	120	7374	0.0160128102	0.9839871898	0.516390759084088	31.732212145717213
2006	16358	266	16092	0.0162611566	0.9837388434	0.5669908842040592	34.300816949668125
2007	22896	310	22586	0.0135394829	0.9864605171	0.48822240538891953	35.5709395100456
2008	22475	266	22209	0.0118353726	0.9881646274	0.42713475874582585	35.66254081573701
2009	22058	265	21793	0.0120137818	0.9879862182	0.4466475814885464	36.73128582407506
2010	16619	178	16441	0.0107106324	0.9892893676	0.43193968382607245	39.89618169541829
2011	14173	128	14045	0.0090312566	0.9909687434	0.354861339331695	38.93771492901294
2012	11475	115	11360	0.0100217865	0.9899782135	0.39594983124205024	39.112957242692964
2013	8301	100	8201	0.0120467414	0.9879532586	0.4813153825734597	39.472674524849424
2014	5792	76	5716	0.0131215470	0.9868784530	0.5485657571439195	41.25791931361373
2015	3785	51	3734	0.0134742404	0.9865257596	0.5742568685428404	42.04461072821502
2016	2826	31	2795	0.0109695683	0.9890304317	0.48468247802015774	43.69959761504326
2017	2778	35	2743	0.0125989921	0.9874010079	0.568620403591491	44.56359334432742
2018	2401	26	2375	0.0108288213	0.9891711787	0.45983088905508046	42.00378313483908
2019	1900	12	1888	0.0063157895	0.9936842105	0.26215752805549786	41.24611774739833
2020	1935	23	1912	0.0118863049	0.9881136951	0.5514902068646959	45.84562067501299
2021	1765	18	1747	0.0101983003	0.9898016997	0.4421312030731459	42.91128954271033
2022	1473	20	1453	0.0135777325	0.9864222675	0.605989264597183	44.025120072985345
2023	1283	9	1274	0.0070148090	0.9929851910	0.36680252896486737	51.922935766804564
