period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	1	0	1	0.0000000000	1.0000000000	0.0	0.26760456715362674
2004	65	1	64	0.0153846154	0.9846153846	0.015747408047498718	1.007834115039918
2005	162	1	161	0.0061728395	0.9938271605	0.00659585010218291	1.0619318664514485
2006	315	4	311	0.0126984127	0.9873015873	0.014139431664554482	1.099340811919111
2007	413	11	402	0.0266343826	0.9733656174	0.029782536017435475	1.0884163162735512
2008	360	4	356	0.0111111111	0.9888888889	0.010937472566597129	0.9734350584271445
2009	319	9	310	0.0282131661	0.9717868339	0.02820189396211332	0.9713985698061254
2010	203	6	197	0.0295566502	0.9704433498	0.026887469313163225	0.8828052424488593
2011	223	2	221	0.0089686099	0.9910313901	0.012083525874248534	1.3352296091044629
2012	111	2	109	0.0180180180	0.9819819820	0.01850798644600927	1.008685261307505
2013	57	0	57	0.0000000000	1.0000000000	0.0	0.8721165474521597
2014	51	0	51	0.0000000000	1.0000000000	0.0	1.27303618255888
2015	40	0	40	0.0000000000	1.0000000000	0.0	1.615087762253913
2016	27	3	24	0.1111111111	0.8888888889	0.1810043424148441	1.4480347393187527
2017	20	0	20	0.0000000000	1.0000000000	0.0	1.5292356597264092
2018	15	0	15	0.0000000000	1.0000000000	0.0	1.4344333428866596
2019	17	0	17	0.0000000000	1.0000000000	0.0	2.2494663471895167
2020	11	1	10	0.0909090909	0.9090909091	0.17636500784207007	1.7636500784207008
2021	8	0	8	0.0000000000	1.0000000000	0.0	1.5490069993817526
2022	11	1	10	0.0909090909	0.9090909091	0.2894515183179393	2.894515183179393
2023	13	0	13	0.0000000000	1.0000000000	0.0	3.6620007143718314
