period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	11	0	11	0.0000000000	1.0000000000	0.0	3.4619064404048543
2001	22	1	21	0.0454545455	0.9545454545	0.3038806162455793	6.381492941157165
2002	44	0	44	0.0000000000	1.0000000000	0.0	7.2982203787212425
2003	25	0	25	0.0000000000	1.0000000000	0.0	3.5185062167782646
2004	83	0	83	0.0000000000	1.0000000000	0.0	3.562946489780826
2005	141	2	139	0.0141843972	0.9858156028	0.04756514498474538	3.3057775764398043
2006	240	3	237	0.0125000000	0.9875000000	0.052408248093938216	4.14025159942112
2007	328	5	323	0.0152439024	0.9847560976	0.05665919611388626	3.6601840689570517
2008	418	7	411	0.0167464115	0.9832535885	0.05626842514605374	3.303760390718298
2009	554	12	542	0.0216606498	0.9783393502	0.07841372945989114	3.5416867806050827
2010	711	8	703	0.0112517581	0.9887482419	0.046294125455448115	4.0680962743975035
2011	754	16	738	0.0212201592	0.9787798408	0.08497639034559223	3.919536004690442
2012	759	10	749	0.0131752306	0.9868247694	0.05490124103980864	4.112102953881667
2013	741	15	726	0.0202429150	0.9797570850	0.09221681419789253	4.463293807177998
2014	654	6	648	0.0091743119	0.9908256881	0.04553205688259157	4.917462143319889
2015	595	7	588	0.0117647059	0.9882352941	0.06113132796902437	5.135031549398047
2016	646	9	637	0.0139318885	0.9860681115	0.07788872536295237	5.512790895133406
2017	632	15	617	0.0237341772	0.9762658228	0.15205023780403776	6.254333115006086
2018	632	9	623	0.0142405063	0.9857594937	0.096779400904539	6.699285195947533
2019	732	5	727	0.0068306011	0.9931693989	0.05195873196418888	7.554799627593063
2020	857	13	844	0.0151691949	0.9848308051	0.12218074624484761	7.932349986973183
2021	1036	9	1027	0.0086872587	0.9913127413	0.08242060299682412	9.405106586415373
2022	942	14	928	0.0148619958	0.9851380042	0.1450242971635692	9.613039126270873
2023	1007	13	994	0.0129096326	0.9870903674	0.12851646885658927	9.82656692641921
2024	1006	17	989	0.0168986083	0.9831013917	0.18764849066592254	10.916726898152788
