period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	149	142	7	0.9530201342	0.0469798658	20.746697001649363	1.0227245000813066
2004	1099	1019	80	0.9272065514	0.0727934486	10.564070241093958	0.8293676342370133
2005	2190	2048	142	0.9351598174	0.0648401826	8.813068955035103	0.6110623982495041
2006	4114	3611	503	0.8777345649	0.1222654351	7.697007830303977	1.0721669727618113
2007	6048	5613	435	0.9280753968	0.0719246032	8.839975359509696	0.6850862785296129
2008	6327	5962	365	0.9423107318	0.0576892682	9.573599367077495	0.5861059659482196
2009	5739	5307	432	0.9247255619	0.0752744381	8.944749867772511	0.7281198309549133
2010	4360	4075	285	0.9346330275	0.0653669725	9.888506806692389	0.6915888196091609
2011	4248	3947	301	0.9291431262	0.0708568738	10.942482080798438	0.834478618272189
2012	3350	3089	261	0.9220895522	0.0779104478	10.63555677136255	0.8986339648189141
2013	2346	2172	174	0.9258312020	0.0741687980	10.454170109495543	0.8374887656778197
2014	1736	1604	132	0.9239631336	0.0760368664	11.577624663932196	0.9527721045131233
2015	1081	1006	75	0.9306197965	0.0693802035	11.327498230472498	0.8444953949159417
2016	842	770	72	0.9144893112	0.0855106888	12.038887357274886	1.125714142498431
2017	737	670	67	0.9090909091	0.0909090909	10.885019154465684	1.0885019154465683
2018	653	585	68	0.8958652374	0.1041347626	10.34619500373931	1.2026346329132873
2019	507	470	37	0.9270216963	0.0729783037	10.267836515507	0.8083190448377852
2020	478	440	38	0.9205020921	0.0794979079	10.550247435672444	0.9111577330808021
2021	408	377	31	0.9240196078	0.0759803922	9.26019241992089	0.761448183070418
2022	346	306	40	0.8843930636	0.1156069364	9.2716357483369	1.211978529194366
2023	218	191	27	0.8761467890	0.1238532110	7.784364781365518	1.1004075868946022
