period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	387	42	345	0.1085271318	0.8914728682	6.13634700048784	50.40570750400725
2004	3806	308	3498	0.0809248555	0.9190751445	3.1930653918125014	36.26409980701341
2005	9394	748	8646	0.0796252927	0.9203747073	3.2188357316241487	37.20595419200854
2006	18756	1438	17316	0.0766687993	0.9232245681	3.065161246185854	36.90982763487778
2007	24471	1771	22700	0.0723713784	0.9276286216	2.7891673546573434	35.750479362349914
2008	25563	1771	23792	0.0692798185	0.9307201815	2.8438182621761565	38.2044743612056
2009	23882	1543	22339	0.0646093292	0.9353906708	2.6006687480634985	37.65154838819863
2010	17272	1070	16202	0.0619499768	0.9380500232	2.596491357830885	39.31621773792149
2011	15523	944	14579	0.0608129872	0.9391870128	2.6171023775712507	40.418152079037355
2012	12951	784	12167	0.0605358660	0.9394641340	2.6993449364675426	41.89149214540892
2013	8882	636	8246	0.0716054943	0.9283945057	3.0611658331672036	39.68926644700748
2014	5749	405	5344	0.0704470343	0.9295529657	2.923278047937992	38.57283429180403
2015	4044	275	3769	0.0680019782	0.9319980218	3.0964831146917864	42.438708579175795
2016	2931	171	2760	0.0583418628	0.9416581372	2.6735710884337736	43.15237546243985
2017	2825	192	2633	0.0679646018	0.9320353982	3.1192890711304644	42.77650064732559
2018	2651	154	2497	0.0580912863	0.9419087137	2.723613727480092	44.16145115271292
2019	2145	146	1999	0.0680652681	0.9319347319	3.1895832580085575	43.671074881911686
2020	1892	142	1750	0.0750528541	0.9249471459	3.4048525815124706	41.96121139187904
2021	1886	127	1759	0.0673382821	0.9326617179	3.1194812661271962	43.20604367809243
2022	1567	101	1465	0.0644543714	0.9349074665	3.0602457862157744	44.38871363174366
2023	1054	63	991	0.0597722960	0.9402277040	2.5676177027540716	40.38903402268706
