period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	69	0	69	0.0000000000	1.0000000000	0.0	11.296808078691274
2001	49	0	49	0.0000000000	1.0000000000	0.0	8.432475148291099
2002	115	0	115	0.0000000000	1.0000000000	0.0	10.036370059640475
2003	123	0	123	0.0000000000	1.0000000000	0.0	9.802814395982855
2004	716	0	716	0.0000000000	1.0000000000	0.0	15.115293909817977
2005	1127	0	1127	0.0000000000	1.0000000000	0.0	14.021304196026442
2006	1911	0	1911	0.0000000000	1.0000000000	0.0	15.92353330988605
2007	2442	0	2442	0.0000000000	1.0000000000	0.0	14.355540038926792
2008	3015	1	3014	0.0003316750	0.9996683250	0.004182254574229065	12.605315286726404
2009	3495	1	3494	0.0002861230	0.9997138770	0.0033748576949067218	11.791752786004087
2010	3739	0	3739	0.0000000000	1.0000000000	0.0	10.477900634938079
2011	4186	1	4185	0.0002388915	0.9997611085	0.002701484128923921	11.30571107954661
2012	4285	0	4285	0.0000000000	1.0000000000	0.0	11.99402925187826
2013	4144	3	4141	0.0007239382	0.9992760618	0.009301806151234177	12.839593090753578
2014	3566	0	3566	0.0000000000	1.0000000000	0.0	12.848402160493052
2015	3237	0	3237	0.0000000000	1.0000000000	0.0	13.457440563594451
2016	2774	2	2772	0.0007209805	0.9992790195	0.008990462292762708	12.460780737769113
2017	2595	1	2594	0.0003853565	0.9996146435	0.005333690164316913	13.835592286238073
2018	2721	1	2720	0.0003675119	0.9996324881	0.005258991361954178	14.304456504515363
2019	2520	0	2520	0.0000000000	1.0000000000	0.0	13.450403797668137
2020	2714	0	2714	0.0000000000	1.0000000000	0.0	12.245062668010922
2021	2482	0	2482	0.0000000000	1.0000000000	0.0	11.539211626556298
2022	2285	0	2285	0.0000000000	1.0000000000	0.0	10.826600167240413
2023	2149	1	2148	0.0004653327	0.9995346673	0.005234574089664381	11.24386514459909
2024	1937	1	1936	0.0005162623	0.9994837377	0.005743381290069346	11.119186177574253
