period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	53	19	34	0.3584905660	0.6415094340	5.979656578881112	10.700438088524095
2001	88	28	60	0.3181818182	0.6818181818	8.50865725487622	18.23283697473476
2002	164	62	102	0.3780487805	0.6219512195	10.283855988198114	16.91860178703561
2003	197	50	147	0.2538071066	0.7461928934	7.037012433556529	20.688816554656192
2004	774	180	594	0.2325581395	0.7674418605	7.726871905548778	25.49867728831097
2005	1287	256	1031	0.1989121989	0.8010878011	6.0883385580474085	24.519832239636244
2006	1806	317	1489	0.1755260244	0.8244739756	5.537804881926139	26.01196047062467
2007	2722	523	2199	0.1921381337	0.8078618663	5.926551913512502	24.918714450887176
2008	3997	729	3268	0.1823867901	0.8176132099	5.859954561639025	26.26931619675766
2009	4809	897	3912	0.1865252651	0.8134747349	5.861426277126863	25.56287580392451
2010	5567	1019	4548	0.1830429316	0.8169570684	5.896714229887704	26.318210321422253
2011	6380	1125	5255	0.1763322884	0.8236677116	5.974902446174454	27.909433204130448
2012	6419	1254	5165	0.1953575323	0.8046424677	6.884615626392004	28.356490997061165
2013	5363	1042	4321	0.1942942383	0.8057057617	6.405994692946933	26.564590276606243
2014	4236	757	3479	0.1787063267	0.8212936733	5.744627843353636	26.401004315756012
2015	3955	759	3196	0.1919089760	0.8080910240	6.628382561212786	27.91081774128598
2016	3984	759	3225	0.1905120482	0.8094879518	6.568615838942317	27.910126588391268
2017	3814	771	3043	0.2021499738	0.7978500262	7.81538222312754	30.845924909179125
2018	3817	754	3063	0.1975373330	0.8024626670	8.107963142446932	32.93725610784477
2019	4113	840	3273	0.2042304887	0.7957695113	8.729066969983732	34.012185943758034
2020	4213	781	3432	0.1853785901	0.8146214099	7.340243293632767	32.25571700863976
2021	4404	732	3672	0.1662125341	0.8337874659	6.703542377075028	33.627606022704235
2022	3801	639	3162	0.1681136543	0.8318863457	6.619323277680052	32.75477340222899
2023	4080	663	3417	0.1625000000	0.8375000000	6.5543399116860535	33.7800595448435
2024	3900	668	3232	0.1712820513	0.8287179487	7.37348186851978	35.675289519544805
