period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	134	1	133	0.0074626866	0.9925373134	0.32179111508987945	42.79821830695397
2004	1414	8	1406	0.0056577086	0.9943422914	0.24274408349983806	42.662272675096546
2005	3564	33	3531	0.0092592593	0.9907407407	0.4085590395049354	43.71581722702808
2006	8333	58	8275	0.0069602784	0.9930397216	0.3114151761732297	44.43035487643924
2007	11355	57	11298	0.0050198151	0.9949801849	0.2145982904106257	42.535640088758754
2008	11161	59	11102	0.0052862647	0.9947137353	0.2295370814023186	43.191875893704086
2009	12071	53	12018	0.0043906884	0.9956093116	0.1933026609424278	43.832290173699946
2010	9042	44	8998	0.0048661800	0.9951338200	0.2328753312446498	47.62300523953088
2011	9837	47	9790	0.0047778794	0.9952221206	0.24079143739500758	50.156344087172855
2012	9676	51	9625	0.0052707730	0.9947292270	0.27963687868263265	52.774607006281165
2013	8370	29	8341	0.0034647551	0.9965352449	0.20364347101055136	58.572075575827895
2014	5717	32	5685	0.0055973413	0.9944026587	0.3249344744246817	57.726640222009856
2015	3783	20	3762	0.0052868094	0.9944488501	0.312285425756287	58.740888584757585
2016	2663	10	2653	0.0037551633	0.9962448367	0.211036308353676	55.987932606230245
2017	2922	15	2907	0.0051334702	0.9948665298	0.30944386789321415	59.9702215977049
2018	3023	23	3000	0.0076083361	0.9923916639	0.499073080247588	65.09648872794625
2019	2410	15	2395	0.0062240664	0.9937759336	0.39249900900541873	62.6690084378652
2020	2101	5	2096	0.0023798191	0.9976201809	0.13875351171262792	58.16547210993363
2021	2114	11	2103	0.0052034059	0.9947965941	0.30944686710084124	59.16061468300629
2022	1670	14	1656	0.0083832335	0.9916167665	0.4737880965817035	56.04236342423578
2023	1209	2	1207	0.0016542597	0.9983457403	0.09529985408162842	57.51346193826275
