period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	0	0	0	NaN	NaN	0.0	0.0
2004	7	0	7	0.0000000000	1.0000000000	0.0	0.11023185633249102
2005	16	1	15	0.0625000000	0.9375000000	0.00659585010218291	0.09893775153274365
2006	42	4	38	0.0952380952	0.9047619048	0.014139431664554482	0.13432460081326758
2007	59	8	51	0.1355932203	0.8644067797	0.02166002619449853	0.1380826669899281
2008	48	13	35	0.2708333333	0.7291666667	0.03554678584144067	0.09570288495772487
2009	68	7	61	0.1029411765	0.8970588235	0.021934806414977026	0.19114617018765695
2010	41	5	36	0.1219512195	0.8780487805	0.022406224427636023	0.16132481587897937
2011	46	10	36	0.2173913043	0.7826086957	0.060417629371242676	0.21750346573647364
2012	29	2	27	0.0689655172	0.9310344828	0.01850798644600927	0.24985781702112517
2013	21	9	12	0.4285714286	0.5714285714	0.13770261275560416	0.1836034836741389
2014	7	2	5	0.2857142857	0.7142857143	0.04992298755132863	0.12480746887832157
2015	3	0	3	0.0000000000	1.0000000000	0.0	0.12113158216904348
2016	10	1	9	0.1000000000	0.9000000000	0.060334780804948036	0.5430130272445323
2017	9	3	6	0.3333333333	0.6666666667	0.22938534895896137	0.45877069791792274
2018	3	0	3	0.0000000000	1.0000000000	0.0	0.28688666857733186
2019	4	0	4	0.0000000000	1.0000000000	0.0	0.5292861993387098
2020	5	0	5	0.0000000000	1.0000000000	0.0	0.8818250392103504
2021	1	0	1	0.0000000000	1.0000000000	0.0	0.19362587492271907
2022	2	1	1	0.5000000000	0.5000000000	0.2894515183179393	0.2894515183179393
2023	3	1	2	0.3333333333	0.6666666667	0.28169236264398706	0.5633847252879741
