period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1860	7	7	0	1.0000000000	0.0000000000	5.74750394114556	0.0
1861	4	4	0	1.0000000000	0.0000000000	3.187428780888177	0.0
1862	11	11	0	1.0000000000	0.0000000000	8.511882975537622	0.0
1863	10	10	0	1.0000000000	0.0000000000	7.888102532711962	0.0
1864	10	10	0	1.0000000000	0.0000000000	7.098627622321777	0.0
1865	11	11	0	1.0000000000	0.0000000000	6.046843245483696	0.0
1866	11	11	0	1.0000000000	0.0000000000	6.0980037907409015	0.0
1867	19	17	2	0.8947368421	0.1052631579	9.05830404037659	1.065682828279599
1868	14	11	3	0.7857142857	0.2142857143	5.873175711535237	1.6017751940550649
1869	19	17	2	0.8947368421	0.1052631579	8.03287619967462	0.9450442587852496
