period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1840	1	1	0	1.0000000000	0.0000000000	4.457281414919412	0.0
1841	1	1	0	1.0000000000	0.0000000000	4.320998323452651	0.0
1842	1	1	0	1.0000000000	0.0000000000	4.204878500035741	0.0
1843	1	1	0	1.0000000000	0.0000000000	4.271624028739486	0.0
1844	1	1	0	1.0000000000	0.0000000000	4.274362799365685	0.0
1845	1	1	0	1.0000000000	0.0000000000	4.272992975199549	0.0
1846	1	1	0	1.0000000000	0.0000000000	4.063884260576259	0.0
1847	2	1	1	0.5000000000	0.5000000000	4.239875178074757	4.239875178074757
1848	1	1	0	1.0000000000	0.0000000000	4.162729418425073	0.0
1849	5	5	0	1.0000000000	0.0000000000	13.597413228107484	0.0
