period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2007	11	10	1	0.9090909091	0.0909090909	661.6819956328989	66.16819956328987
2008	39	35	4	0.8974358974	0.1025641026	318.5785933389767	36.408982095883054
2009	42	37	5	0.8809523810	0.1190476190	257.86847313986226	34.84709096484625
2010	83	66	17	0.7951807229	0.2048192771	328.1753450813477	84.5300131270138
2011	235	186	49	0.7914893617	0.2085106383	325.2988026905359	85.69699640772183
2012	224	159	65	0.7098214286	0.2901785714	251.43905370358655	102.78955025618318
2013	274	195	79	0.7116788321	0.2883211679	255.49109318742825	103.50664800926582
2014	368	281	87	0.7635869565	0.2364130435	276.81783613172195	85.70516634683207
2015	476	321	155	0.6743697479	0.3256302521	350.36094817932366	169.1774048840971
2016	405	284	121	0.7012345679	0.2987654321	371.0192185342389	158.07508958677082
2017	344	241	103	0.7005813953	0.2994186047	284.227608525413	121.47487003368273
2018	386	228	158	0.5906735751	0.4093264249	261.6653392123874	181.32948945419824
2019	0	0	0	NaN	NaN	0.0	0.0
2020	0	0	0	NaN	NaN	0.0	0.0
2021	0	0	0	NaN	NaN	0.0	0.0
2022	0	0	0	NaN	NaN	0.0	0.0
2023	342	245	97	0.7163742690	0.2836257310	368.49586006181704	145.89427928978063
2024	309	212	97	0.6860841424	0.3139158576	315.84373482236765	144.51340697061164
2025	358	252	106	0.7039106145	0.2960893855	328.4770007442871	138.16889713847
2026	4	4	0	1.0000000000	0.0000000000	159.07735136209982	0.0
