period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1830	10	9	1	0.9000000000	0.1000000000	3.5404733140757814	0.3933859237861979
1831	6	6	0	1.0000000000	0.0000000000	2.1513719657587638	0.0
1832	9	9	0	1.0000000000	0.0000000000	3.364371529790949	0.0
1833	15	15	0	1.0000000000	0.0000000000	4.946550869010056	0.0
1834	4	4	0	1.0000000000	0.0000000000	1.62004907938686	0.0
1835	22	22	0	1.0000000000	0.0000000000	7.409919794354517	0.0
1836	9	9	0	1.0000000000	0.0000000000	3.3009824824195175	0.0
1837	12	12	0	1.0000000000	0.0000000000	3.8760503692745485	0.0
1838	41	41	0	1.0000000000	0.0000000000	11.0527203979842	0.0
1839	46	46	0	1.0000000000	0.0000000000	11.867880561650027	0.0
