period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1880	5	5	0	1.0000000000	0.0000000000	8.257242840557595	0.0
1881	3	2	1	0.6666666667	0.3333333333	3.284331113125501	1.6421655565627504
1882	2	2	0	1.0000000000	0.0000000000	3.5109709063395846	0.0
1883	3	3	0	1.0000000000	0.0000000000	5.4143121928505815	0.0
1884	1	1	0	1.0000000000	0.0000000000	1.8832959185210854	0.0
1885	1	1	0	1.0000000000	0.0000000000	1.8613897508157542	0.0
1886	6	5	1	0.8333333333	0.1666666667	9.24455357126349	1.848910714252698
1887	1	1	0	1.0000000000	0.0000000000	1.7452890285895797	0.0
1888	3	3	0	1.0000000000	0.0000000000	4.678829544001273	0.0
1889	4	4	0	1.0000000000	0.0000000000	6.164382506098885	0.0
