period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1820	1	1	0	1.0000000000	0.0000000000	7.044039333915641	0.0
1821	2	0	2	0.0000000000	1.0000000000	0.0	15.075111744265804
1822	0	0	0	NaN	NaN	0.0	0.0
1823	1	1	0	1.0000000000	0.0000000000	7.450121436979423	0.0
1824	2	2	0	1.0000000000	0.0000000000	13.97116351849782	0.0
1825	2	0	2	0.0000000000	1.0000000000	0.0	12.790667928679236
1826	6	2	4	0.3333333333	0.6666666667	12.895571660691719	25.791143321383437
1827	1	0	1	0.0000000000	1.0000000000	0.0	6.690574318899535
1828	1	1	0	1.0000000000	0.0000000000	6.872096539212182	0.0
1829	2	0	2	0.0000000000	1.0000000000	0.0	14.139971578657127
