period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1870	12	12	0	1.0000000000	0.0000000000	9.963210843958683	0.0
1871	19	19	0	1.0000000000	0.0000000000	15.163534731677263	0.0
1872	23	23	0	1.0000000000	0.0000000000	17.6217394035884	0.0
1873	16	16	0	1.0000000000	0.0000000000	11.711281770511578	0.0
1874	10	10	0	1.0000000000	0.0000000000	6.940925780680627	0.0
1875	14	14	0	1.0000000000	0.0000000000	7.696265771847499	0.0
1876	33	31	2	0.9393939394	0.0606060606	15.51237887834492	1.0007986373125755
1877	23	22	1	0.9565217391	0.0434782609	9.695016805430267	0.44068258206501215
1878	24	24	0	1.0000000000	0.0000000000	10.435699135315362	0.0
1879	38	38	0	1.0000000000	0.0000000000	15.253276644664483	0.0
