period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1880	26	25	1	0.9615384615	0.0384615385	12.94602955630332	0.5178411822521327
1881	18	17	1	0.9444444444	0.0555555556	7.779387551698607	0.45761103245285917
1882	13	13	0	1.0000000000	0.0000000000	6.044644816670573	0.0
1883	25	24	1	0.9600000000	0.0400000000	11.271161605915104	0.46963173357979604
1884	20	20	0	1.0000000000	0.0000000000	9.340369122047333	0.0
1885	9	9	0	1.0000000000	0.0000000000	4.078118627939644	0.0
1886	21	21	0	1.0000000000	0.0000000000	9.176785529345395	0.0
1887	29	29	0	1.0000000000	0.0000000000	12.50357321941572	0.0
1888	25	25	0	1.0000000000	0.0000000000	10.253596038666721	0.0
1889	25	25	0	1.0000000000	0.0000000000	10.608431751290833	0.0
