period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1870	4	4	0	1.0000000000	0.0000000000	11.075392968786772	0.0
1871	8	7	1	0.8750000000	0.1250000000	20.053112099761368	2.8647302999659097
1872	2	2	0	1.0000000000	0.0000000000	5.619871866921434	0.0
1873	1	1	0	1.0000000000	0.0000000000	2.7489519620644627	0.0
1874	2	2	0	1.0000000000	0.0000000000	5.604407305905363	0.0
1875	3	3	0	1.0000000000	0.0000000000	7.136672027100323	0.0
1876	0	0	0	NaN	NaN	0.0	0.0
1877	0	0	0	NaN	NaN	0.0	0.0
1878	0	0	0	NaN	NaN	0.0	0.0
1879	2	2	0	1.0000000000	0.0000000000	3.9936740203517633	0.0
