period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1880	42	40	2	0.9523809524	0.0476190476	6.151953245155337	0.30759766225776686
1881	50	49	1	0.9800000000	0.0200000000	7.599523122169468	0.15509230861570344
1882	38	38	0	1.0000000000	0.0000000000	5.896096504825024	0.0
1883	64	63	1	0.9843750000	0.0156250000	9.42965975243102	0.14967713892747647
1884	68	61	7	0.8970588235	0.1029411765	9.074117240867384	1.0412921423946178
1885	59	58	1	0.9830508475	0.0169491525	8.306930185407817	0.14322293423116925
1886	52	51	1	0.9807692308	0.0192307692	7.299704691162376	0.1431314645325956
1887	56	56	0	1.0000000000	0.0000000000	8.200671605716394	0.0
1888	103	102	1	0.9902912621	0.0097087379	15.120136152378953	0.1482366289448917
1889	106	105	1	0.9905660377	0.0094339623	14.964644957384966	0.14252042816557112
