period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1850	1	1	0	1.0000000000	0.0000000000	2.3051885183170278	0.0
1851	0	0	0	NaN	NaN	0.0	0.0
1852	4	3	1	0.7500000000	0.2500000000	6.564307235835866	2.1881024119452888
1853	7	4	3	0.5714285714	0.4285714286	9.35224044610187	7.014180334576403
1854	5	4	1	0.8000000000	0.2000000000	8.264940946996933	2.0662352367492334
1855	6	4	2	0.6666666667	0.3333333333	7.91045366451766	3.95522683225883
1856	7	5	2	0.7142857143	0.2857142857	10.341539689795177	4.13661587591807
1857	11	10	1	0.9090909091	0.0909090909	21.34262164227205	2.1342621642272053
1858	9	9	0	1.0000000000	0.0000000000	19.802590178795384	0.0
1859	5	5	0	1.0000000000	0.0000000000	10.21293979471991	0.0
