period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1870	13	13	0	1.0000000000	0.0000000000	4.829503660763775	0.0
1871	23	23	0	1.0000000000	0.0000000000	7.586870491790841	0.0
1872	24	24	0	1.0000000000	0.0000000000	7.620779834400454	0.0
1873	30	30	0	1.0000000000	0.0000000000	8.870485588122065	0.0
1874	30	28	2	0.9333333333	0.0666666667	7.913529988321891	0.5652521420229922
1875	18	18	0	1.0000000000	0.0000000000	5.123831624061058	0.0
1876	12	12	0	1.0000000000	0.0000000000	3.196150130629319	0.0
1877	26	26	0	1.0000000000	0.0000000000	6.483278005205075	0.0
1878	22	22	0	1.0000000000	0.0000000000	5.291423972700101	0.0
1879	29	28	1	0.9655172414	0.0344827586	6.512191287246246	0.23257826025879447
