period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1880	33	33	0	1.0000000000	0.0000000000	13.72527734418379	0.0
1881	41	41	0	1.0000000000	0.0000000000	16.11055138951541	0.0
1882	50	50	0	1.0000000000	0.0000000000	17.953740392504674	0.0
1883	35	35	0	1.0000000000	0.0000000000	12.492535709913327	0.0
1884	48	48	0	1.0000000000	0.0000000000	16.088734734974963	0.0
1885	45	44	1	0.9777777778	0.0222222222	13.987539010133654	0.31789861386667395
1886	54	54	0	1.0000000000	0.0000000000	15.905275249624458	0.0
1887	51	51	0	1.0000000000	0.0000000000	14.0799109487044	0.0
1888	58	58	0	1.0000000000	0.0000000000	26.556813035915344	0.0
1889	50	50	0	1.0000000000	0.0000000000	16.439397476355214	0.0
