period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1870	11	11	0	1.0000000000	0.0000000000	8.308169649803098	0.0
1871	18	17	1	0.9444444444	0.0555555556	13.402458483913897	0.7883799108184645
1872	22	22	0	1.0000000000	0.0000000000	12.590948138456934	0.0
1873	18	18	0	1.0000000000	0.0000000000	10.756884256523005	0.0
1874	8	8	0	1.0000000000	0.0000000000	4.834736615636022	0.0
1875	1	1	0	1.0000000000	0.0000000000	0.6101813642068832	0.0
1876	15	14	1	0.9333333333	0.0666666667	8.777214851799862	0.6269439179857045
1877	14	14	0	1.0000000000	0.0000000000	8.524334234274278	0.0
1878	15	15	0	1.0000000000	0.0000000000	7.144047817493392	0.0
1879	26	25	1	0.9615384615	0.0384615385	11.454664499749601	0.458186579989984
