period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1840	78	78	0	1.0000000000	0.0000000000	14.738496556199115	0.0
1841	69	67	2	0.9710144928	0.0289855072	11.406080291995655	0.34048000871628825
1842	82	80	2	0.9756097561	0.0243902439	13.708585292847083	0.34271463232117705
1843	54	52	2	0.9629629630	0.0370370370	9.06383484577362	0.34860903252975467
1844	75	74	1	0.9866666667	0.0133333333	12.097917931975369	0.1634853774591266
1845	63	61	2	0.9682539683	0.0317460317	10.212818392984564	0.33484650468801846
1846	65	63	2	0.9692307692	0.0307692308	9.610623308415885	0.3050991526481234
1847	99	99	0	1.0000000000	0.0000000000	14.465878135058992	0.0
1848	68	66	2	0.9705882353	0.0294117647	9.019023991287076	0.27330375731172957
1849	84	83	1	0.9880952381	0.0119047619	11.18274354466024	0.13473184993566556
