period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1870	21	21	0	1.0000000000	0.0000000000	8.518751394438473	0.0
1871	35	32	3	0.9142857143	0.0857142857	13.413495737232973	1.2575152253655912
1872	27	27	0	1.0000000000	0.0000000000	11.514311009216566	0.0
1873	16	16	0	1.0000000000	0.0000000000	6.839954052608652	0.0
1874	33	32	1	0.9696969697	0.0303030303	13.646841076138712	0.42646378362933474
1875	16	16	0	1.0000000000	0.0000000000	6.465918748456767	0.0
1876	19	18	1	0.9473684211	0.0526315789	6.8573335563236615	0.3809629753513145
1877	25	25	0	1.0000000000	0.0000000000	9.304444398128988	0.0
1878	19	19	0	1.0000000000	0.0000000000	6.526480162763545	0.0
1879	28	26	2	0.9285714286	0.0714285714	8.930537250816544	0.6869644039089648
