period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1880	14	13	1	0.9285714286	0.0714285714	7.234118327917019	0.5564706406090014
1881	19	19	0	1.0000000000	0.0000000000	10.01264755480607	0.0
1882	26	26	0	1.0000000000	0.0000000000	9.734550052248325	0.0
1883	35	34	1	0.9714285714	0.0285714286	12.830532440680486	0.37736860119648485
1884	31	30	1	0.9677419355	0.0322580645	11.472051596699263	0.38240171988997534
1885	45	45	0	1.0000000000	0.0000000000	17.0795748779949	0.0
1886	54	53	1	0.9814814815	0.0185185185	18.99039193660792	0.358309281822791
1887	59	59	0	1.0000000000	0.0000000000	21.479907366989313	0.0
1888	84	81	3	0.9642857143	0.0357142857	30.200576570019848	1.1185398729636982
1889	44	44	0	1.0000000000	0.0000000000	16.568729159645354	0.0
