period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1820	0	0	0	NaN	NaN	0.0	0.0
1821	1	1	0	1.0000000000	0.0000000000	2.543066836882607	0.0
1822	2	1	1	0.5000000000	0.5000000000	2.719319952466287	2.719319952466287
1823	4	3	1	0.7500000000	0.2500000000	8.222534678540008	2.740844892846669
1824	0	0	0	NaN	NaN	0.0	0.0
1825	0	0	0	NaN	NaN	0.0	0.0
1826	0	0	0	NaN	NaN	0.0	0.0
1827	3	3	0	1.0000000000	0.0000000000	7.338192847708037	0.0
1828	5	5	0	1.0000000000	0.0000000000	12.039228622543696	0.0
1829	1	1	0	1.0000000000	0.0000000000	2.2540544804967935	0.0
