period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1800	0	0	0	NaN	NaN	0.0	0.0
1801	0	0	0	NaN	NaN	0.0	0.0
1802	0	0	0	NaN	NaN	0.0	0.0
1803	1	0	1	0.0000000000	1.0000000000	0.0	0.35353603203884937
1804	2	0	2	0.0000000000	1.0000000000	0.0	0.7686170580720931
1805	7	5	2	0.7142857143	0.2857142857	1.8301000954946232	0.7320400381978492
1806	13	12	1	0.9230769231	0.0769230769	4.2983191064940796	0.35819325887450665
1807	18	17	1	0.9444444444	0.0555555556	6.091491333241125	0.3583230196024191
1808	4	4	0	1.0000000000	0.0000000000	1.4357445107000655	0.0
1809	14	14	0	1.0000000000	0.0000000000	5.024270816810062	0.0
