period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1860	70	69	1	0.9857142857	0.0142857143	15.534456211857561	0.22513704654866035
1861	59	59	0	1.0000000000	0.0000000000	12.617719041463964	0.0
1862	63	63	0	1.0000000000	0.0000000000	11.091385268246032	0.0
1863	121	118	3	0.9752066116	0.0247933884	20.753368377213224	0.5276280095901668
1864	93	90	3	0.9677419355	0.0322580645	15.761040214644352	0.5253680071548118
1865	106	106	0	1.0000000000	0.0000000000	18.108257655906545	0.0
1866	94	94	0	1.0000000000	0.0000000000	15.660201613433921	0.0
1867	81	81	0	1.0000000000	0.0000000000	13.493055574064549	0.0
1868	91	90	1	0.9890109890	0.0109890110	15.026858004206185	0.16696508893562428
1869	96	96	0	1.0000000000	0.0000000000	16.00105340268234	0.0
