period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1860	14	13	1	0.9285714286	0.0714285714	7.644230458259855	0.5880177275584505
1861	8	6	2	0.7500000000	0.2500000000	3.5292519103546485	1.1764173034515495
1862	12	10	2	0.8333333333	0.1666666667	5.829319846618936	1.1658639693237873
1863	18	18	0	1.0000000000	0.0000000000	10.137549652873403	0.0
1864	16	14	2	0.8750000000	0.1250000000	7.34792806798303	1.0497040097118615
1865	8	8	0	1.0000000000	0.0000000000	3.8957914738655703	0.0
1866	6	6	0	1.0000000000	0.0000000000	2.8784364333294157	0.0
1867	15	11	4	0.7333333333	0.2666666667	4.922572411040166	1.7900263312873332
1868	8	8	0	1.0000000000	0.0000000000	3.628450316083378	0.0
1869	25	25	0	1.0000000000	0.0000000000	10.457166400706068	0.0
