period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1870	6	5	1	0.8333333333	0.1666666667	9.756383113652106	1.9512766227304215
1871	3	3	0	1.0000000000	0.0000000000	6.172991925726562	0.0
1872	3	3	0	1.0000000000	0.0000000000	6.388633343555147	0.0
1873	4	4	0	1.0000000000	0.0000000000	7.1722119818973376	0.0
1874	3	3	0	1.0000000000	0.0000000000	5.295020915332615	0.0
1875	10	10	0	1.0000000000	0.0000000000	17.122935830085684	0.0
1876	12	12	0	1.0000000000	0.0000000000	17.124362830999665	0.0
1877	7	6	1	0.8571428571	0.1428571429	8.374063849445497	1.3956773082409162
1878	8	8	0	1.0000000000	0.0000000000	10.231539744416137	0.0
1879	11	11	0	1.0000000000	0.0000000000	12.851548261068688	0.0
