period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1850	0	0	0	NaN	NaN	0.0	0.0
1851	1	1	0	1.0000000000	0.0000000000	3.6916579605066433	0.0
1852	2	2	0	1.0000000000	0.0000000000	7.400582425836913	0.0
1853	1	1	0	1.0000000000	0.0000000000	4.06571827011819	0.0
1854	0	0	0	NaN	NaN	0.0	0.0
1855	2	2	0	1.0000000000	0.0000000000	6.700010385016097	0.0
1856	8	8	0	1.0000000000	0.0000000000	27.774016713014557	0.0
1857	1	1	0	1.0000000000	0.0000000000	3.3995335839922762	0.0
1858	4	4	0	1.0000000000	0.0000000000	13.958049083479601	0.0
1859	2	2	0	1.0000000000	0.0000000000	7.591371646986036	0.0
