period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1820	0	0	0	NaN	NaN	0.0	0.0
1821	1	1	0	1.0000000000	0.0000000000	3.5478606400340595	0.0
1822	2	2	0	1.0000000000	0.0000000000	6.22882200518238	0.0
1823	2	1	1	0.5000000000	0.5000000000	3.448311534257251	3.448311534257251
1824	1	1	0	1.0000000000	0.0000000000	3.4142627411749844	0.0
1825	1	1	0	1.0000000000	0.0000000000	3.283640901031063	0.0
1826	4	4	0	1.0000000000	0.0000000000	10.711225364181661	0.0
1827	2	1	1	0.5000000000	0.5000000000	2.681101718318091	2.681101718318091
1828	2	2	0	1.0000000000	0.0000000000	4.569590290534551	0.0
1829	1	1	0	1.0000000000	0.0000000000	2.0860713019170998	0.0
