period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1860	11	11	0	1.0000000000	0.0000000000	6.893483151700496	0.0
1861	17	16	1	0.9411764706	0.0588235294	8.238763485182325	0.5149227178238953
1862	14	13	1	0.9285714286	0.0714285714	6.64193821975619	0.51091832459663
1863	10	10	0	1.0000000000	0.0000000000	4.861399081487257	0.0
1864	14	14	0	1.0000000000	0.0000000000	6.705045067481489	0.0
1865	19	19	0	1.0000000000	0.0000000000	8.68053176023823	0.0
1866	17	17	0	1.0000000000	0.0000000000	7.44162265895306	0.0
1867	20	20	0	1.0000000000	0.0000000000	8.356267806684428	0.0
1868	9	9	0	1.0000000000	0.0000000000	3.72715718539998	0.0
1869	13	13	0	1.0000000000	0.0000000000	5.037199719931696	0.0
