period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1820	0	0	0	NaN	NaN	0.0	0.0
1821	1	1	0	1.0000000000	0.0000000000	1.3582379850267845	0.0
1822	1	1	0	1.0000000000	0.0000000000	1.326747359441068	0.0
1823	2	2	0	1.0000000000	0.0000000000	2.57963327933301	0.0
1824	0	0	0	NaN	NaN	0.0	0.0
1825	2	2	0	1.0000000000	0.0000000000	2.643100780111195	0.0
1826	1	1	0	1.0000000000	0.0000000000	1.2956858842797023	0.0
1827	4	4	0	1.0000000000	0.0000000000	5.258743318109271	0.0
1828	3	3	0	1.0000000000	0.0000000000	3.90659589651167	0.0
1829	7	7	0	1.0000000000	0.0000000000	8.834702712253733	0.0
