period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1850	10	9	1	0.9000000000	0.1000000000	18.88915007219853	2.098794452466503
1851	4	4	0	1.0000000000	0.0000000000	7.759637469737414	0.0
1852	7	7	0	1.0000000000	0.0000000000	13.806515491896562	0.0
1853	12	11	1	0.9166666667	0.0833333333	22.076472902132988	2.0069520820120896
1854	6	6	0	1.0000000000	0.0000000000	12.09826208465154	0.0
1855	6	3	3	0.5000000000	0.5000000000	6.104794909415018	6.104794909415018
1856	6	6	0	1.0000000000	0.0000000000	9.445442337935887	0.0
1857	6	6	0	1.0000000000	0.0000000000	10.097661213368632	0.0
1858	8	8	0	1.0000000000	0.0000000000	8.1321887277699	0.0
1859	10	10	0	1.0000000000	0.0000000000	9.774186958693308	0.0
