period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1860	3	3	0	1.0000000000	0.0000000000	6.740800492527823	0.0
1861	0	0	0	NaN	NaN	0.0	0.0
1862	1	1	0	1.0000000000	0.0000000000	2.407903703115105	0.0
1863	6	6	0	1.0000000000	0.0000000000	14.034004392643375	0.0
1864	8	8	0	1.0000000000	0.0000000000	18.036501369646825	0.0
1865	1	1	0	1.0000000000	0.0000000000	2.352780633792047	0.0
1866	7	7	0	1.0000000000	0.0000000000	11.846075479808365	0.0
1867	2	2	0	1.0000000000	0.0000000000	2.9392745870319206	0.0
1868	7	7	0	1.0000000000	0.0000000000	10.217769869548274	0.0
1869	3	3	0	1.0000000000	0.0000000000	4.130985281299442	0.0
