period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1998	193	184	9	0.9533678756	0.0466321244	5949.109250218242	290.98903941284874
1999	3233	3049	183	0.9430869162	0.0566037736	5065.692848550902	304.0412565709463
2000	1190	926	262	0.7781512605	0.2201680672	4988.122235928486	1411.3261617853814
2001	2132	1856	273	0.8705440901	0.1280487805	6814.26001395161	1002.3130300693908
2002	1462	1312	147	0.8974008208	0.1005471956	7404.606432751838	829.6319707427747
2003	1631	1434	194	0.8792152054	0.1189454323	6681.016409023566	903.847408194262
2004	4632	3542	1083	0.7646804836	0.2338082902	6096.060279055679	1863.9280864532184
2005	31384	27922	3422	0.8896890135	0.1090364517	6138.30330279497	752.2840019398462
2006	55262	50640	4562	0.9163620571	0.0825522059	6453.255568035588	581.3537105327479
2007	121207	102913	18132	0.8490681231	0.1495953204	5621.189414687432	990.3841736914922
2008	266452	211070	54873	0.7921501809	0.2059395313	5092.530878308972	1323.932566851984
2009	446471	350958	94672	0.7860712118	0.2120451272	4912.729405725451	1325.2238680948715
2010	587415	468754	117652	0.7979946035	0.2002877012	5107.218032026946	1281.8544821036928
2011	574023	460836	112127	0.8028180056	0.1953353785	4938.110210266909	1201.5022340845717
2012	443961	357663	85542	0.8056180610	0.1926790867	5027.884945143573	1202.5155914295622
2013	340062	272814	66634	0.8022478254	0.1959466215	5287.341302867769	1291.417230696705
2014	221398	182329	38738	0.8235349913	0.1749699636	8522.246981989509	1810.6543862375684
2015	0	0	0	NaN	NaN	0.0	0.0
2016	0	0	0	NaN	NaN	0.0	0.0
2017	0	0	0	NaN	NaN	0.0	0.0
