period	v1ipm	v1abs
2000	61.67930583796235	384
2001	82.70021629156979	488
2002	92.05685085355285	1065
2003	101.2686411479046	1299
2004	94.9194792152736	4549
2005	99.70403053790609	8068
2006	111.72195931473955	13503
2007	129.1894769717996	22187
2008	122.28862984888089	29606
2009	126.89984074996264	37812
2010	131.15608864878237	47133
2011	129.47671481104257	48162
2012	124.79896748448984	44870
2013	118.60548673141699	38432
2014	117.0883656342477	32652
2015	113.85417313176616	27456
2016	99.05026428509318	22076
2017	101.61135263803179	19042
2018	94.97520830461661	18029
2019	97.10657932801476	18143
2020	99.96384779726999	22072
2021	101.4633169800168	21660
