period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1998	11	0	11	0.0000000000	1.0000000000	0.0	355.6532703934819
1999	91	21	70	0.2307692308	0.7692307692	34.88998026223974	116.29993420746578
2000	33	2	31	0.0606060606	0.9393939394	10.773482151033445	166.98897334101844
2001	95	9	86	0.0947368421	0.9052631579	33.043286705584315	315.7469618533612
2002	45	4	41	0.0888888889	0.9111111111	22.57501961204829	231.39395102349494
2003	63	10	53	0.1587301587	0.8412698413	46.59007258733309	246.92738471286538
2004	137	14	123	0.1021897810	0.8978102190	24.09509991721612	211.69266355839878
2005	1357	453	904	0.3338246131	0.6661753869	99.58639768519882	198.7331203254299
2006	2547	715	1832	0.2807224185	0.7192775815	91.1152790510554	233.4590087014454
2007	5011	1337	3674	0.2668130114	0.7331869886	73.02799692397556	200.6767843670054
2008	9855	2232	7623	0.2264840183	0.7735159817	53.85193973745973	183.92174579688867
2009	16005	3359	12646	0.2098719150	0.7901280850	47.01946692718727	177.01940421590064
2010	20200	4082	16118	0.2020792079	0.7979207921	44.47463703079653	175.6105339692255
2011	19837	4073	15764	0.2053233856	0.7946766144	43.644426404224326	168.9198963506487
2012	14991	3023	11968	0.2016543259	0.7983456741	42.49613795435653	168.2414088778495
2013	11794	2351	9443	0.1993386468	0.8006613532	45.56415507650679	183.01246975221338
2014	7615	1596	6019	0.2095863427	0.7904136573	74.5986989631669	281.33431645319644
2015	0	0	0	NaN	NaN	0.0	0.0
2016	0	0	0	NaN	NaN	0.0	0.0
2017	0	0	0	NaN	NaN	0.0	0.0
