period	v1ipm	v1abs
2004	4.472381923526742	2
2005	9.392100819051786	31
2006	11.025593518485007	46
2007	12.10767080580344	67
2008	13.127845720517263	101
2009	10.721155718015549	95
2010	9.216746686934055	91
2011	9.863768491349475	92
2012	10.89851439625636	104
2013	11.104866912110495	155
2014	9.144352942164456	147
2015	10.52077305807102	202
2016	10.956679728287233	238
2017	11.242735622111816	238
2018	12.182687539174788	229
2019	11.067605316483105	202
2020	19.626088021254677	314
2021	13.10184774824024	196
2022	12.860432372023158	180
