period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	53629	41723	11905	0.7779932499	0.2219881035	6701.68360465544	1912.2197184627905
2001	49522	37546	11970	0.7581680869	0.2417107548	6362.832624760817	2028.5278463321524
2002	108983	76029	32948	0.6976225650	0.3023223806	6571.825298999078	2847.9724835447214
2003	112663	80484	32170	0.7143782786	0.2855418372	6273.975932297436	2507.7506801601376
2004	410591	303427	107145	0.7390006113	0.2609531139	6326.827414668826	2234.1054795541972
2005	721785	525506	196245	0.7280644513	0.2718884432	6465.066580752183	2414.314948144668
2006	1089460	813392	276007	0.7466010684	0.2533429405	6673.041805992601	2264.3525504880795
2007	1498960	1110721	388175	0.7409944228	0.2589628809	6426.202711510048	2245.830624918781
2008	2079414	1568607	510728	0.7543505045	0.2456115040	6419.46815389766	2090.1361088557196
2009	2577844	1949888	627881	0.7564026372	0.2435682687	6411.946103583297	2064.7027580373765
2010	3144873	2421829	722937	0.7700880131	0.2298779633	6615.675167540828	1974.836521734798
2011	3230688	2501434	729160	0.7742728484	0.2256980556	6654.669748332265	1939.8149196396766
2012	3123135	2461880	661172	0.7882720408	0.2117013834	6793.669254395269	1824.5340505089723
2013	2829792	2280410	549315	0.8058578157	0.1941185077	6988.44376222256	1683.4064862219009
2014	2485132	2011785	473267	0.8095284275	0.1904393811	7167.218160867277	1686.0687585100661
2015	2244318	1849030	395242	0.8238716617	0.1761078421	7644.348413031525	1634.028412445123
2016	2012255	1671838	340373	0.8308281008	0.1691500332	7485.609122671672	1524.0108395138316
2017	1760063	1462293	297725	0.8308185559	0.1691558768	7792.848043366792	1586.635293823726
2018	1854313	1547712	306564	0.8346552065	0.1653248400	8142.036330592329	1612.7388206925496
2019	1812557	1511804	300702	0.8340725285	0.1658993345	8081.601053840554	1607.4528180187133
2020	2151234	1791857	359318	0.8329437895	0.1670287844	8108.650358670335	1626.0136995177113
2021	2080024	1716515	363443	0.8252380742	0.1747301954	8038.715050001379	1702.0618601746273
