period	v1ipm	v1abs
1998	96.99634647094959	3
1999	46.51997368298632	28
2000	247.79008947376929	46
2001	132.17314682233726	36
2002	141.0938725753018	25
2003	144.4292250207326	31
2004	330.44708457896394	192
2005	167.51619213271854	762
2006	109.46576881798124	859
2007	166.59341108311554	3050
2008	221.56019830156484	9183
2009	233.90749995632606	16710
2010	219.44234797581404	20141
2011	212.4464517284929	19826
2012	211.42636944542582	15040
2013	227.68511009732103	11748
2014	356.6808720475731	7631
2015		
2016		
2017		
