period	v1ipm	v1abs
2004	13.417145770580225	6
2005	19.996085614755415	66
2006	30.67991239926263	128
2007	39.39510799500224	218
2008	43.67283328805743	336
2009	41.07895454060694	364
2010	35.55030864960279	351
2011	33.02213190454717	308
2012	38.974627831593146	372
2013	34.52269756347825	482
2014	23.324925164310102	375
2015	26.295180848360637	505
2016	23.056169338497792	501
2017	20.344927235494467	431
2018	18.01501336140062	339
2019	15.266937476966213	279
2020	16.03667493959415	257
2021	12.884709554946776	193
2022	15.52202239366366	148
