period	v1ipm	v1abs
1998	161.66057745158267	5
1999	212.66273683650888	128
2000	1120.4421437074784	208
2001	686.5660682160296	187
2002	609.5255295253038	108
2003	554.4218637892637	119
2004	1196.149603033229	695
2005	438.5758573553458	1995
2006	376.5673420921241	2955
2007	633.4373076494724	11597
2008	823.9202016552474	34149
2009	820.8319503254941	58639
2010	787.512681182257	72280
2011	736.3188707012704	68715
2012	741.2574774506186	52730
2013	792.8666882942972	40910
2014	1100.19058658836	23538
2015		
2016		
2017		
