period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
199801	2	2	0	1.0000000000	0.0000000000	3401.3605442176868	0.0
199802	3	3	0	1.0000000000	0.0000000000	1127.3957158962796	0.0
199803	16	15	1	0.9375000000	0.0625000000	6890.215893431328	459.34772622875516
199804	9	9	0	1.0000000000	0.0000000000	1773.049645390071	0.0
199805	0	0	0	NaN	NaN	0.0	0.0
199806	18	16	2	0.8888888889	0.1111111111	6371.963361210673	796.4954201513341
199807	9	9	0	1.0000000000	0.0000000000	7340.94616639478	0.0
199808	17	12	5	0.7058823529	0.2941176471	4311.893639956881	1796.6223499820337
199809	23	23	0	1.0000000000	0.0000000000	6725.146198830409	0.0
199810	51	49	2	0.9607843137	0.0392156863	7053.40434720023	287.89405498776455
199811	45	45	0	1.0000000000	0.0000000000	17605.6338028169	0.0
199812	12	12	0	1.0000000000	0.0000000000	12195.121951219513	0.0
199901	102	74	28	0.7254901961	0.2745098039	7444.66800804829	2816.9014084507044
199902	2757	2671	86	0.9688066739	0.0311933261	5125.400571834283	165.02600118972234
199903	15	11	4	0.7333333333	0.2666666667	3937.007874015748	1431.6392269148173
199904	193	178	15	0.9222797927	0.0777202073	6250.4389353184915	526.7223821897605
199905	13	8	5	0.6153846154	0.3846153846	3809.5238095238096	2380.952380952381
199906	14	12	2	0.8571428571	0.1428571429	6063.66851945427	1010.611419909045
199907	24	24	0	1.0000000000	0.0000000000	2796.5509205313447	0.0
199908	0	0	0	NaN	NaN	0.0	0.0
199909	56	56	0	1.0000000000	0.0000000000	9985.73466476462	0.0
199910	44	31	13	0.7045454545	0.2954545455	3758.9426458105977	1576.3307869528314
199911	1	1	0	1.0000000000	0.0000000000	5181.347150259067	0.0
199912	109	74	35	0.6788990826	0.3211009174	5762.791059886302	2725.644420216494
200001	282	222	60	0.7872340426	0.2127659574	6769.7374439667	1829.6587686396488
200002	49	43	6	0.8775510204	0.1224489796	4250.6919731119015	593.1198102016608
200003	73	72	1	0.9863013699	0.0136986301	7161.328824348518	99.46290033817387
200004	197	158	39	0.8020304569	0.1979695431	7671.764991502791	1893.6635105608157
200005	63	57	6	0.9047619048	0.0952380952	6465.517241379311	680.5807622504537
200006	20	20	0	1.0000000000	0.0000000000	5625.879043600563	0.0
200007	188	108	80	0.5744680851	0.4255319149	3827.8868646771107	2835.4717516126743
200008	17	16	1	0.9411764706	0.0588235294	4049.607694254619	253.1004808909137
200009	45	27	18	0.6000000000	0.4000000000	3725.1655629139073	2483.4437086092717
200010	209	155	54	0.7416267943	0.2583732057	4251.933944148791	1481.3189224776431
200011	20	17	3	0.8500000000	0.1500000000	2737.5201288244766	483.09178743961354
200012	71	64	7	0.9014084507	0.0985915493	3629.146583498724	396.93790757017297
200101	292	226	66	0.7739726027	0.2260273973	5682.3896208387805	1659.458915820175
200102	73	72	1	0.9863013699	0.0136986301	13787.820758330141	191.49751053236307
200103	65	56	9	0.8615384615	0.1384615385	8720.024914356898	1401.4325755216444
200104	71	59	12	0.8309859155	0.1690140845	7401.83163969389	1505.4572826496048
200105	41	27	14	0.6585365854	0.3414634146	3138.4400790421946	1627.3393002441007
200106	221	212	9	0.9592760181	0.0407239819	12437.665004400118	528.0140803754767
200107	128	126	2	0.9843750000	0.0156250000	10732.538330494039	170.35775127768312
200108	179	167	12	0.9329608939	0.0670391061	6061.045984103364	435.5242623307807
200109	780	670	110	0.8589743590	0.1410256410	6156.560412397659	1010.7785751697648
200110	81	75	6	0.9259259259	0.0740740741	26150.62761506276	2092.0502092050206
200111	236	201	35	0.8516949153	0.1483050847	7434.806732014055	1294.6180876641392
200112	75	60	15	0.8000000000	0.2000000000	6443.298969072164	1610.824742268041
200201	149	132	17	0.8859060403	0.1140939597	6370.963849606642	820.5029200250978
200202	25	25	0	1.0000000000	0.0000000000	13943.112102621304	0.0
200203	224	156	68	0.6964285714	0.3035714286	5071.85122569738	2210.806944534755
200204	34	33	1	0.9705882353	0.0294117647	13295.72925060435	402.90088638195004
200205	57	53	4	0.9298245614	0.0701754386	17869.184086311532	1348.6176668914363
200206	96	93	3	0.9687500000	0.0312500000	6658.07560137457	214.7766323024055
200207	337	336	1	0.9970326409	0.0029673591	9120.026057217307	27.142934694099125
200208	204	204	0	1.0000000000	0.0000000000	13789.374070569149	0.0
200209	24	24	0	1.0000000000	0.0000000000	7194.244604316547	0.0
200210	64	62	2	0.9687500000	0.0312500000	18354.055654233274	592.0663114268798
200211	248	202	46	0.8145161290	0.1854838710	5187.467899332306	1181.3045711350796
200212	52	38	14	0.7307692308	0.2692307692	5269.7268062682015	1941.4782970461795
200301	356	350	6	0.9831460674	0.0168539326	9930.76835773465	170.2417432754511
200302	88	86	2	0.9772727273	0.0227272727	7593.148507858025	176.58484901995408
200303	83	80	3	0.9638554217	0.0361445783	5846.243788365975	219.23414206372405
200304	57	56	1	0.9824561404	0.0175438596	22178.21782178218	396.03960396039605
200305	157	124	33	0.7898089172	0.2101910828	5439.550798385681	1447.6223898929636
200306	159	125	34	0.7861635220	0.2138364780	4419.772293331447	1202.1780637861539
200307	110	91	19	0.8272727273	0.1727272727	8785.479822359528	1834.3309519212203
200308	111	108	3	0.9729729730	0.0270270270	5290.746093175917	146.9651692548866
200309	194	178	16	0.9175257732	0.0824742268	6818.094763856437	612.8624506837247
200310	140	88	52	0.6285714286	0.3714285714	4476.548987689491	2645.233492725608
200311	97	86	11	0.8865979381	0.1134020619	7485.420837322656	957.4375489598747
200312	153	125	28	0.8169934641	0.1830065359	9799.310128566949	2195.045468798997
200401	315	234	81	0.7428571429	0.2571428571	5497.861942577886	1903.1060570461914
200402	107	87	20	0.8130841121	0.1869158879	7381.639232988292	1696.9285593076534
200403	192	148	44	0.7708333333	0.2291666667	5987.2972207613575	1780.0072818479714
200404	147	87	60	0.5918367347	0.4081632653	5189.073124179888	3578.6711201240605
200405	307	223	84	0.7263843648	0.2736156352	5682.831732116919	2140.6182309319333
200406	339	174	165	0.5132743363	0.4867256637	3502.485959862316	3321.322892972886
200407	287	208	79	0.7247386760	0.2752613240	6539.441003552677	2483.729996541642
