period	v1ipm	v1abs
2000	0.48151588906130727	3
2001	0.0	0
2002	0.1736194454473379	2
2003	0.15744537944257722	2
2004	0.3154003891241787	15
2005	0.32331044830065103	26
2006	0.4330351922121219	52
2007	0.5294647205214296	90
2008	0.4729561635724668	113
2009	0.7193873842939273	213
2010	0.7096013735750983	253
2011	0.8869174252809857	328
2012	1.0366122248385692	370
2013	1.272693004833182	410
2014	1.468306375985873	407
2015	1.9138247087426103	460
2016	2.1779846931235767	484
2017	2.7724549284432856	519
2018	3.4637959695744587	657
2019	3.6659343325089777	685
2020	4.444971510445724	983
2021	4.537365609164673	973
2022	4.225496807439908	889
