period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	3	0	3	0.0000000000	1.0000000000	0.0	21.87099031844162
2001	4	1	3	0.2500000000	0.7500000000	5.392783377284518	16.178350131853552
2002	20	2	18	0.1000000000	0.9000000000	1.7887487702352205	16.098738932116984
2003	29	4	25	0.1379310345	0.8620689655	2.307765978683166	14.423537366769786
2004	90	10	80	0.1111111111	0.8888888889	1.697194384934209	13.577555079473672
2005	143	25	118	0.1748251748	0.8251748252	2.2566107637986557	10.651202805129655
2006	181	37	144	0.2044198895	0.7955801105	2.756303853148898	10.727236617660576
2007	256	42	214	0.1640625000	0.8359375000	2.0611689173567944	10.502146388436998
2008	320	46	274	0.1437500000	0.8562500000	1.6787437070376183	9.999473385397987
2009	509	63	446	0.1237721022	0.8762278978	1.847107684442938	13.076349639072227
2010	507	77	430	0.1518737673	0.8481262327	2.1604366640916317	12.064776176096126
2011	499	90	409	0.1803607214	0.8196392786	2.5333880132295774	11.512841082343302
2012	528	70	458	0.1325757576	0.8674242424	1.8838304721581565	12.325633660691937
2013	487	71	416	0.1457905544	0.8542094456	2.3950159919603022	14.032769755711067
2014	420	49	371	0.1166666667	0.8833333333	2.017487083965342	15.275259350023305
2015	320	45	275	0.1406250000	0.8593750000	2.0929139375650285	12.790029618452952
2016	272	37	235	0.1360294118	0.8639705882	1.1793842485838544	7.490683741005561
2017	306	52	254	0.1699346405	0.8300653595	2.763637901997042	13.499308213600935
2018	336	64	272	0.1904761905	0.8095238095	3.5488718469105405	15.0827053493698
2019	361	48	313	0.1329639889	0.8670360111	2.4173976482649153	15.763447164727468
2020	404	40	364	0.0990099010	0.9009900990	1.8235703857822418	16.5944905106184
2021	456	53	403	0.1162280702	0.8837719298	2.102574034607099	15.98749690465398
